	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
254	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	clearance		105.0		17.6				ml/min	
255	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	1.34		0.24				ml/min/kg	
256	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	vd		40.0		2.5				l	
257	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	vd		0.5		0.04				l/kg	
258	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		4.9		0.65				h	
259	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	tmax		1.14		0.26				h	
260	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	cmax		5.81		0.49				µg/ml	
261	Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	auc		46.3		7.0				µg/ml*h	
262	Culm-Merdek2005	control	S1	D1	paraxanthine	Tab1	E1	plasma	auc24h		27.3		3.09				µg/ml*h	
263	Culm-Merdek2005	control	S1	D1	theobromine	Tab1	E1	plasma	auc24h		14.8		3.37				µg/ml*h	
264	Culm-Merdek2005	control	S1	D1	theophylline	Tab1	E1	plasma	auc24h		1.96		0.94				µg/ml*h	
265	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	clearance		9.12		2.02				ml/min	
266	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	clearance	yes	0.14		0.03				ml/min/kg	
267	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	vd		44.7		8.5				l	
268	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	vd		0.54		0.1				l/kg	
269	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	thalf		55.9		10.7				h	
270	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	tmax		4.57		3.25				h	
271	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	cmax		8.14		0.75				µg/ml	
272	Culm-Merdek2005	fluvoxamine	S1	D1+D2	caffeine	Tab1	E2	plasma	auc		635.0		146.0				µg/ml*h	
273	Culm-Merdek2005	fluvoxamine	S1	D1+D2	paraxanthine	Tab1	E2	plasma	auc24h		9.03		1.82				µg/ml*h	
274	Culm-Merdek2005	fluvoxamine	S1	D1+D2	theobromine	Tab1	E2	plasma	auc24h		18.15		4.92				µg/ml*h	
275	Culm-Merdek2005	fluvoxamine	S1	D1+D2	theophylline	Tab1	E2	plasma	auc24h		5.07		1.14				µg/ml*h	
