	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
10	Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.9	0.8					ml/min/kg	
11	Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	thalf		7.2	3.0					h	
12	Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	tmax		1.1	1.0					h	
13	Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	cmax		5.9	2.8					µg/ml	
14	Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	auc		55.6	24.0					µg/ml*h	
15	Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	auc	yes	0.649	0.251					µg/ml*h/kg	
16	Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	clearance	yes	2.4	2.0					ml/min/kg	
17	Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	thalf		9.5	5.2					h	
18	Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	tmax		1.3	1.2					h	
19	Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	cmax		4.9	1.8					µg/ml	
20	Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	auc		74.7	39.7					µg/ml*h	
21	Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	auc	yes	0.72	0.569					µg/ml*h/kg	
22	Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	thalf		9.1	9.0					h	
23	Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	tmax		7.9	3.7					h	
24	Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	cmax		1.4	0.5					µg/ml	
25	Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	auc		24.7	9.0					µg/ml*h	
26	Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	thalf		11.6	5.3					h	
27	Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	tmax		11.4	7.1					h	
28	Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	cmax		0.9	0.4					µg/ml	
29	Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	auc		23.8	11.4					µg/ml*h	
30	Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	thalf		14.4	7.4					h	
31	Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	tmax		10.3	7.6					h	
32	Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	cmax		0.21	0.1					µg/ml	
33	Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	auc		7.2	5.6					µg/ml*h	
34	Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	thalf		17.7	4.8					h	
35	Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	tmax		13.8	7.3					h	
36	Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	cmax		0.14	0.09					µg/ml	
37	Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	auc		6.1	4.1					µg/ml*h	
38	Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	thalf		14.5	8.4					h	
39	Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	tmax		10.2	6.0					h	
40	Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	cmax		0.2	0.04					µg/ml	
41	Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	auc		4.1	2.2					µg/ml*h	
42	Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	thalf		17.4	4.8					h	
43	Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	tmax		12.4	6.9					h	
44	Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	cmax		0.24	0.09					µg/ml	
45	Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	auc		7.1	3.4					µg/ml*h	
