study	dose	time	caf	px	tb	tp
Healy1991	250	0.25	1.73	0.10	0.19	NA
Healy1991	250	0.50	6.64	0.67	0.25	NA
Healy1991	250	0.75	6.25	0.76	0.27	NA
Healy1991	250	1.00	5.85	0.92	0.30	NA
Healy1991	250	1.50	5.44	1.10	0.31	0.12
Healy1991	250	2.00	5.14	1.16	0.26	0.13
Healy1991	250	2.50	4.63	1.26	0.33	0.14
Healy1991	250	3.00	4.19	1.30	0.33	0.14
Healy1991	250	4.00	3.48	1.43	0.37	0.15
Healy1991	250	5.00	2.96	1.48	0.41	0.16
Healy1991	250	6.00	2.44	1.42	0.40	0.16
Healy1991	250	8.00	1.88	1.33	0.44	0.17
Healy1991	500	0.25	9.12	0.38	0.29	NA
Healy1991	500	0.50	16.49	0.98	0.34	NA
Healy1991	500	0.75	14.31	1.01	0.32	0.12
Healy1991	500	1.00	13.81	1.32	0.38	0.14
Healy1991	500	1.50	12.03	1.62	0.46	0.17
Healy1991	500	2.00	10.43	1.84	0.50	0.19
Healy1991	500	2.50	9.81	2.07	0.52	0.21
Healy1991	500	3.00	9.58	2.32	0.55	0.23
Healy1991	500	4.00	7.78	2.60	0.60	0.25
Healy1991	500	5.00	6.48	2.70	0.66	0.28
Healy1991	500	6.00	5.80	2.77	0.66	0.27
Healy1991	500	8.00	4.42	2.73	0.69	0.29

