	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
582	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	cmax		7.0		0.5				µg/ml	
583	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	tmax		0.65		0.09				h	
584	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	thalf		3.94		0.5				h	
585	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	vd		38.8		3.6				l	
586	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	vd	yes	0.58		0.03				l/kg	
587	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	clearance		142.0		29.0				ml/min	
588	Kaplan1997	control	S1	D_CAF250	caffeine	Tab2	E1	plasma	clearance	yes	2.07		0.4				ml/min/kg	
589	Kaplan1997	control	S1	D_CAF250	paraxanthine	Tab2	E2	plasma	auc		9.43		0.42				µg/ml*h	AUC 0-8h
590	Kaplan1997	control	S1	D_CAF250	theobromine	Tab2	E3	plasma	auc		2.78		0.55				µg/ml*h	AUC 0-8h
591	Kaplan1997	control	S1	D_CAF250	theophylline	Tab2	E4	plasma	auc		1.0		0.1				µg/ml*h	AUC 0-8h
592	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	cmax		17.3		1.4				µg/ml	
593	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	tmax		0.5		0.06				h	
594	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	thalf		4.74		0.6				h	
595	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	vd		35.8		2.7				l	
596	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	vd	yes	0.53		0.03				l/kg	
597	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	clearance		113.0		24.0				ml/min	
598	Kaplan1997	control	S1	D_CAF500	caffeine	Tab2	E5	plasma	clearance	yes	1.64		0.3				ml/min/kg	
599	Kaplan1997	control	S1	D_CAF500	paraxanthine	Tab2	E6	plasma	auc		17.3		0.93				µg/ml*h	AUC 0-8h
600	Kaplan1997	control	S1	D_CAF500	theobromine	Tab2	E7	plasma	auc		4.29		0.9				µg/ml*h	AUC 0-8h
601	Kaplan1997	control	S1	D_CAF500	theophylline	Tab2	E8	plasma	auc		1.67		0.18				µg/ml*h	AUC 0-8h
