study	output_type	pk	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median
Healy1989	outputs	21416	plasma	caffeine	cmax	µg/ml	3032			831.0	2.1	0.158	0.23800000000000002			0.5						
Healy1989	outputs	21417	plasma	caffeine	tmax	h	3032			831.0	1.2	0.126	0.33299999999999996			0.4						
Healy1989	outputs	21418	plasma	caffeine	kel	1/h	3032			831.0	0.14	0.00949	0.214			0.03						
Healy1989	outputs	21419	plasma	caffeine	thalf	h	3032			831.0	5.2	0.379	0.231			1.2						
Healy1989	outputs	21420	plasma	caffeine	vd	l/kg	3032			831.0	0.67	0.0601	0.284			0.19						
Healy1989	outputs	21421	plasma	caffeine	auc_inf	mg*h/l	3032			831.0	16.3	2.09	0.405			6.6						
Healy1989	outputs	21422	plasma	caffeine	clearance	ml/min/1.73m^2	3032			831.0	106.0	13.2	0.392			41.6						
Healy1989	outputs	21426	plasma	paraxanthine	cmax	µg/ml	3032			831.0	0.6	0.0632	0.33299999999999996			0.2						
Healy1989	outputs	21427	plasma	paraxanthine	tmax	h	3032			831.0	6.2	0.5379999999999999	0.27399999999999997			1.7						
Healy1989	outputs	21428	plasma	paraxanthine	auc_end	mg*h/l	3032			831.0	4.6	0.41100000000000003	0.28300000000000003	h	10.0	1.3						
May1982	outputs	22135	plasma	caffeine	vd	l/kg	3070	1350.0	0.68													
May1982	outputs	22136	plasma	caffeine	vd	l/kg	3070	1351.0	0.53													
May1982	outputs	22137	plasma	caffeine	vd	l/kg	3070	1352.0	0.514													
May1982	outputs	22138	plasma	caffeine	vd	l/kg	3070	1353.0	0.628													
May1982	outputs	22139	plasma	caffeine	vd	l/kg	3070	1354.0	0.75													
May1982	outputs	22140	plasma	caffeine	vd	l/kg	3070	1355.0	0.506													
May1982	outputs	22147	plasma	caffeine	thalf	h	3070	1344.0	3.47													
May1982	outputs	22148	plasma	caffeine	thalf	h	3070	1345.0	2.88													
May1982	outputs	22149	plasma	caffeine	thalf	h	3070	1346.0	2.18													
May1982	outputs	22150	plasma	caffeine	thalf	h	3070	1347.0	3.98													
May1982	outputs	22151	plasma	caffeine	thalf	h	3070	1348.0	3.18													
May1982	outputs	22152	plasma	caffeine	thalf	h	3070	1349.0	3.27													
May1982	outputs	22159	plasma	caffeine	thalf	h	3070	1350.0	4.25													
May1982	outputs	22160	plasma	caffeine	thalf	h	3070	1351.0	4.18													
May1982	outputs	22161	plasma	caffeine	thalf	h	3070	1352.0	7.05													
May1982	outputs	22162	plasma	caffeine	thalf	h	3070	1353.0	3.68													
May1982	outputs	22163	plasma	caffeine	thalf	h	3070	1354.0	4.1													
May1982	outputs	22164	plasma	caffeine	thalf	h	3070	1355.0	4.32													
May1982	outputs	22171	plasma	caffeine	clearance	l/h/kg	3070	1344.0	0.11800000000000001													
May1982	outputs	22172	plasma	caffeine	clearance	l/h/kg	3070	1345.0	0.193													
May1982	outputs	22173	plasma	caffeine	clearance	l/h/kg	3070	1346.0	0.23													
May1982	outputs	22174	plasma	caffeine	clearance	l/h/kg	3070	1347.0	0.0996													
May1982	outputs	22175	plasma	caffeine	clearance	l/h/kg	3070	1348.0	0.134													
May1982	outputs	22176	plasma	caffeine	clearance	l/h/kg	3070	1349.0	0.11900000000000001													
May1982	outputs	22183	plasma	caffeine	clearance	l/h/kg	3070	1350.0	0.11													
May1982	outputs	22184	plasma	caffeine	clearance	l/h/kg	3070	1351.0	0.0888													
May1982	outputs	22185	plasma	caffeine	clearance	l/h/kg	3070	1352.0	0.0492													
May1982	outputs	22186	plasma	caffeine	clearance	l/h/kg	3070	1353.0	0.11699999999999999													
May1982	outputs	22187	plasma	caffeine	clearance	l/h/kg	3070	1354.0	0.126													
May1982	outputs	22188	plasma	caffeine	clearance	l/h/kg	3070	1355.0	0.081													
May1982	outputs	22215	plasma	caffeine	cmax	µg/ml	3070			848.0	3.5	0.5	0.35									
May1982	outputs	22217	plasma	caffeine	cmax	µg/ml	3070			849.0	3.3	0.19	0.141									
May1982	outputs	22219	plasma	caffeine	tmax	h	3070			848.0	0.483	0.1	0.507									
May1982	outputs	22221	plasma	caffeine	tmax	h	3070			849.0	0.767	0.133	0.426									
May1982	outputs	22223	plasma	caffeine	vd	l/kg	3070			848.0	0.647	0.04	0.151									
May1982	outputs	22225	plasma	caffeine	vd	l/kg	3070			849.0	0.601	0.041	0.16699999999999998									
May1982	outputs	22227	plasma	caffeine	thalf	h	3070			848.0	3.17	0.25	0.193									
May1982	outputs	22229	plasma	caffeine	thalf	h	3070			849.0	4.6	0.5	0.266									
May1982	outputs	22231	plasma	caffeine	clearance	l/h/kg	3070			848.0	0.149	0.021	0.344									
May1982	outputs	22233	plasma	caffeine	clearance	l/h/kg	3070			849.0	0.0954	0.0114	0.293									
Healy1991	outputs	21453	plasma	caffeine	cmax	µg/ml	3040			832.0	4.35	0.158	0.145			0.63						
Healy1991	outputs	21454	plasma	caffeine	tmax	h	3040			832.0	0.78	0.045	0.231			0.18						
Healy1991	outputs	21455	plasma	caffeine	thalf	h	3040			832.0	4.8	0.275	0.22899999999999998			1.1						
Healy1991	outputs	21456	plasma	caffeine	clearance	ml/min/1.73m^2	3040			832.0	104.0	5.45	0.21			21.8						
Healy1991	outputs	21458	plasma	caffeine	auc_end	mg*h/l	3040			832.0	30.3	1.73	0.228	h	24.0	6.9						
Healy1991	outputs	21472	plasma	paraxanthine	cmax	µg/ml	3040			832.0	1.32	0.0575	0.174			0.23						
Healy1991	outputs	21473	plasma	paraxanthine	tmax	h	3040			832.0	5.88	0.385	0.262			1.54						
Healy1991	outputs	21474	plasma	paraxanthine	thalf	h	3040			832.0	9.2	0.725	0.315			2.9						
Healy1991	outputs	21476	plasma	paraxanthine	auc_end	mg*h/l	3040			832.0	21.3	1.23	0.23	h	24.0	4.9						
Seng2009	outputs	23050	plasma	caffeine	clearance	l/h	3108			878.0	4.96	0.67	0.523			2.6						
