study	substance	intervention	log_dose	delta_thalf	dose
Harder1988	caffeine	enoxacin	0.04	5.05	1.11
Harder1988	caffeine	enoxacin	0.10	2.09	1.25
Harder1988	caffeine	enoxacin	0.10	3.22	1.25
Harder1988	caffeine	enoxacin	0.10	3.97	1.25
Harder1988	caffeine	enoxacin	0.13	1.95	1.34
Harder1988	caffeine	enoxacin	0.14	1.53	1.39
Harder1988	caffeine	enoxacin	0.14	2.74	1.37
Harder1988	caffeine	enoxacin	0.15	2.56	1.40
Harder1988	caffeine	enoxacin	0.17	3.30	1.47
Harder1988	caffeine	enoxacin	0.19	4.40	1.54
Harder1988	caffeine	enoxacin	0.35	1.84	2.22
Harder1988	caffeine	enoxacin	0.35	2.93	2.22
Harder1988	caffeine	enoxacin	0.40	2.12	2.50
Harder1988	caffeine	enoxacin	0.40	3.73	2.49
Harder1988	caffeine	enoxacin	0.40	8.19	2.50
Harder1988	caffeine	enoxacin	0.42	4.62	2.65
Harder1988	caffeine	enoxacin	0.44	2.08	2.78
Harder1988	caffeine	enoxacin	0.44	4.05	2.78
Harder1988	caffeine	enoxacin	0.44	6.90	2.74
Harder1988	caffeine	enoxacin	0.47	3.21	2.93
Harder1988	caffeine	enoxacin	0.49	4.58	3.07
Harder1988	caffeine	enoxacin	0.49	7.58	3.06
Harder1988	caffeine	enoxacin	0.60	5.64	3.98
Harder1988	caffeine	enoxacin	0.69	7.67	4.86
Harder1988	caffeine	enoxacin	0.73	7.08	5.39
Harder1988	caffeine	enoxacin	0.74	5.69	5.54
Harder1988	caffeine	enoxacin	0.74	6.33	5.56
Harder1988	caffeine	enoxacin	0.76	5.45	5.73
Harder1988	caffeine	enoxacin	0.79	5.49	6.16
Harder1988	caffeine	enoxacin	0.74	7.78	5.53
Harder1988	caffeine	enoxacin	0.76	8.73	5.71
Harder1988	caffeine	enoxacin	0.74	9.09	5.46
Harder1988	caffeine	enoxacin	0.79	13.11	6.20
Harder1988	caffeine	enoxacin	0.77	18.99	5.91
Harder1988	caffeine	ciprofloxacin	0.05	1.90	1.11
Harder1988	caffeine	ciprofloxacin	0.05	0.65	1.11
Harder1988	caffeine	ciprofloxacin	0.10	0.73	1.26
Harder1988	caffeine	ciprofloxacin	0.13	0.22	1.34
Harder1988	caffeine	ciprofloxacin	0.14	0.32	1.39
Harder1988	caffeine	ciprofloxacin	0.17	0.17	1.48
Harder1988	caffeine	ciprofloxacin	0.19	0.27	1.54
Harder1988	caffeine	ciprofloxacin	0.19	0.88	1.55
Harder1988	caffeine	ciprofloxacin	0.40	0.21	2.51
Harder1988	caffeine	ciprofloxacin	0.48	0.51	3.04
Harder1988	caffeine	ciprofloxacin	0.53	0.31	3.38
Harder1988	caffeine	ciprofloxacin	0.53	1.35	3.42
Harder1988	caffeine	ciprofloxacin	0.54	0.92	3.47
Harder1988	caffeine	ciprofloxacin	0.55	0.32	3.57
Harder1988	caffeine	ciprofloxacin	0.59	0.97	3.86
Harder1988	caffeine	ciprofloxacin	0.58	1.60	3.84
Harder1988	caffeine	ciprofloxacin	0.75	1.02	5.57
Harder1988	caffeine	ciprofloxacin	0.80	0.39	6.25
Harder1988	caffeine	ciprofloxacin	0.80	1.06	6.27
Harder1988	caffeine	ciprofloxacin	0.84	0.38	6.87
Harder1988	caffeine	ciprofloxacin	0.84	0.86	6.99
Harder1988	caffeine	ciprofloxacin	0.84	1.47	6.97
Harder1988	caffeine	ciprofloxacin	0.87	2.63	7.36
Harder1988	caffeine	ciprofloxacin	0.89	3.03	7.68
Harder1988	caffeine	ciprofloxacin	0.89	1.03	7.72

