study	time	warfarin	warfarin_SE	warfarin_cocktail	warfarin_cocktail_SE
Turpault 2009	0.1	NA	NA	3.4130	NA
Turpault 2009	0.6	440.9556	116.7236	372.6963	NA
Turpault 2009	1.4	NA	NA	402.7304	NA
Turpault 2009	1.9	NA	NA	453.9249	NA
Turpault 2009	2.6	NA	NA	421.1604	NA
Turpault 2009	4.1	NA	NA	391.8089	NA
Turpault 2009	4.9	NA	NA	378.1570	NA
Turpault 2009	5.9	NA	NA	357.6792	NA
Turpault 2009	7.1	NA	NA	340.6144	NA
Turpault 2009	8.1	NA	NA	334.4710	56.6553
Turpault 2009	12.1	313.3106	52.5597	320.1365	64.1638
Turpault 2009	23.8	224.5734	56.6553	230.0341	52.5597
Turpault 2009	48.0	135.8362	49.8294	144.7099	47.0990
Turpault 2009	71.9	83.9590	31.3993	86.6894	34.1297
Turpault 2009	95.8	53.9249	22.5256	54.6075	23.2082
Turpault 2009	119.7	35.4949	17.0648	35.4949	12.2867
Turpault 2009	143.9	25.2560	12.9693	25.2560	10.2389
Turpault 2009	168.3	19.1126	8.1911	19.1126	8.8737
Turpault 2009	216.1	12.9693	4.7782	13.6519	6.8259
Turpault 2009	263.7	8.8737	4.7782	8.8737	4.7782
Turpault 2009	311.8	6.8259	5.4608	6.8259	2.0478

