study	n	substance	dose	route	time	dmp_ng	dmp_ng_se	dmp	dmp_se	dmp_sd	dp_ng	dp_ng_se	dp	dp_se	dp_sd
Tanaka2014	4	dextromethorphan	30	oral	0.0	0.0118	NA	0.0000118	NA	NA	0.00	NA	0.00000	NA	NA
Tanaka2014	4	dextromethorphan	30	oral	0.5	0.0250	NA	0.0000250	NA	NA	0.41	0.22	0.00041	NA	NA
Tanaka2014	4	dextromethorphan	30	oral	1.0	0.7456	0.5894	0.0007456	0.0005894	0.0011788	2.25	1.74	0.00225	0.00059	0.00118
Tanaka2014	4	dextromethorphan	30	oral	1.5	1.1950	1.0728	0.0011950	0.0010728	0.0021455	2.94	1.54	0.00294	0.00107	0.00215
Tanaka2014	4	dextromethorphan	30	oral	2.0	1.4440	1.2260	0.0014440	0.0012260	0.0024519	3.34	1.93	0.00334	0.00123	0.00245
Tanaka2014	4	dextromethorphan	30	oral	3.0	1.5294	1.3792	0.0015294	0.0013792	0.0027584	2.94	1.30	0.00294	0.00138	0.00276
Tanaka2014	4	dextromethorphan	30	oral	4.0	1.4735	1.4381	0.0014735	0.0014381	0.0028762	2.19	0.88	0.00219	0.00144	0.00288
Tanaka2014	4	dextromethorphan	30	oral	6.0	1.2554	1.2260	0.0012554	0.0012260	0.0024519	1.35	0.26	0.00135	0.00123	0.00245
Tanaka2014	4	dextromethorphan	30	oral	8.0	0.8959	0.8606	0.0008959	0.0008606	0.0017212	0.90	0.25	0.00090	0.00086	0.00172

