study	time	N	losartan	losartan_pm_se	losartan_se	exp3174	exp3174_pm_se	exp3174_se
Oh2012	0.00	13	0.0280	0.15	0.12	0.03	0.16	0.13
Oh2012	0.25	13	0.2031	0.46	0.26	0.04	0.18	0.13
Oh2012	0.50	13	1.5209	2.69	1.17	0.02	0.19	0.17
Oh2012	0.75	13	2.0994	3.19	1.09	0.07	0.18	0.11
Oh2012	1.00	13	2.3014	3.46	1.16	0.15	0.30	0.15
Oh2012	1.50	13	2.1944	3.19	0.99	0.54	0.82	0.28
Oh2012	2.00	13	2.0067	2.69	0.69	1.05	0.57	0.48
Oh2012	3.00	13	1.5776	1.93	0.35	2.37	3.27	0.90
Oh2012	4.00	13	1.5384	1.94	0.40	4.05	5.75	1.69
Oh2012	5.00	13	1.9832	2.36	0.38	5.45	7.31	1.86
Oh2012	6.00	13	1.4869	1.77	0.28	5.55	7.47	1.92
Oh2012	8.00	13	0.8706	1.09	0.22	5.90	7.55	1.65
Oh2012	10.00	13	0.4695	0.62	0.15	5.19	6.28	1.09
Oh2012	12.00	13	0.3104	0.39	0.08	4.10	5.35	1.25

