study	n	substance	dose	route	time	omp_ng	omp_ng_se	omp	omp_se	omp_sd	omp5oh_ng	omp5oh_ng_se	omp5oh	omp5oh_se	omp5oh_sd
Tanaka2014	4	omeprazole	20	oral	0.0	4.87	NA	0.00487	NA	NA	7.31	NA	0.00731	NA	NA
Tanaka2014	4	omeprazole	20	oral	0.5	4.72	NA	0.00472	NA	NA	2.28	NA	0.00228	NA	NA
Tanaka2014	4	omeprazole	20	oral	1.0	2.13	NA	0.00213	NA	NA	4.57	NA	0.00457	NA	NA
Tanaka2014	4	omeprazole	20	oral	1.5	6.85	NA	0.00685	NA	NA	9.30	NA	0.00930	NA	NA
Tanaka2014	4	omeprazole	20	oral	2.0	6.72	NA	0.00672	NA	NA	4.27	NA	0.00427	NA	NA
Tanaka2014	4	omeprazole	20	oral	3.0	128.47	178.23010	0.12847	0.17823	0.35646	57.67	NA	0.05767	0.17823	0.35646
Tanaka2014	4	omeprazole	20	oral	4.0	513.91	527.34000	0.51391	0.52734	1.05468	111.08	87.89	0.11108	0.52734	1.05468
Tanaka2014	4	omeprazole	20	oral	6.0	376.58	268.56260	0.37658	0.26856	0.53713	66.53	29.30	0.06653	0.26856	0.53713
Tanaka2014	4	omeprazole	20	oral	8.0	188.00	144.04046	0.18800	0.14404	0.28808	29.31	NA	0.02931	0.14404	0.28808

