study	n	substance	dose	route	time	caf_ng	caf_ng_se	caf	caf_se	caf_sd	px_ng	pg_ng_se	px	px_se	px_sd	px_caf	px_caf_se	px_caf_sd
Tanaka2014	4	caffeine	100	oral	0.0	1270.59	588.24	1.27	0.59	1.18	635.29	176.47	0.64	0.18	0.35	0.50	0.3071	0.6141
Tanaka2014	4	caffeine	100	oral	0.5	3247.06	1905.88	3.25	1.91	3.81	1294.12	317.65	1.29	0.32	0.64	0.40	0.7701	1.5401
Tanaka2014	4	caffeine	100	oral	1.0	3929.41	1505.88	3.93	1.51	3.01	1458.82	317.65	1.46	0.32	0.64	0.37	0.5714	1.1427
Tanaka2014	4	caffeine	100	oral	1.5	4047.06	1105.88	4.05	1.11	2.21	1458.82	NA	1.46	NA	NA	0.36	NA	NA
Tanaka2014	4	caffeine	100	oral	2.0	3788.24	1105.88	3.79	1.11	2.21	1247.06	152.94	1.25	0.15	0.31	0.33	0.3675	0.7350
Tanaka2014	4	caffeine	100	oral	3.0	3858.82	1529.41	3.86	1.53	3.06	1176.47	176.47	1.18	0.18	0.35	0.30	0.4694	0.9388
Tanaka2014	4	caffeine	100	oral	4.0	3529.41	1152.94	3.53	1.15	2.31	1129.41	282.35	1.13	0.28	0.56	0.32	0.3798	0.7597
Tanaka2014	4	caffeine	100	oral	6.0	3152.94	1011.76	3.15	1.01	2.02	941.18	305.88	0.94	0.31	0.61	0.30	0.3155	0.6310
Tanaka2014	4	caffeine	100	oral	8.0	2470.59	1082.35	2.47	1.08	2.16	776.47	305.88	0.78	0.31	0.61	0.31	0.3535	0.7070

