study	n	route	dose	time	apap	apap_se	apap_sd
Rawlins1977	6	iv	1000	0.25	19.8610	2.0153	4.9364297342
Rawlins1977	6	iv	1000	0.50	13.8346	1.2752	3.1236652542
Rawlins1977	6	iv	1000	0.75	12.0803	1.3202	3.2338188079
Rawlins1977	6	iv	1000	1.00	11.2248	0.9376	2.2965411538
Rawlins1977	6	iv	1000	1.50	8.7049	0.9431	2.3100035494
Rawlins1977	6	iv	1000	2.00	7.6011	0.7683	1.8818376413
Rawlins1977	6	iv	1000	3.00	5.5395	0.7803	1.911295205
Rawlins1977	6	iv	1000	4.00	3.8369	0.5205	1.2749545121
Rawlins1977	6	iv	1000	5.00	2.9924	0.5285	1.2946317531
Rawlins1977	6	iv	1000	6.00	2.5116	0.4232	1.0365748244

