study	n	group	health_status	time	apap	apap_se	apap_sd	apap_sul	apap_sul_se	apap_sul_sd	apap_glu	apap_glu_se	apap_glu_sd	apap_cys	apap_cys_se	apap_cys_sd
Chan1997	6	group1	NIDDM patients with normal renal function	0.0	0.0000	NA	NA	0.1252	NA	NA	0.0000	NA	NA	0.0000	NA	NA
Chan1997	6	group1	NIDDM patients with normal renal function	0.5	20.2171	1.1577	2.8356958915	3.4294	0.3153	0.7723498355	2.6601	0.3935	0.9638068528	0.0183	NA	NA
Chan1997	6	group1	NIDDM patients with normal renal function	1.0	19.7471	0.9474	2.3205975925	5.4208	0.6301	1.5433828254	6.9747	1.5715	3.8493567192	0.0969	NA	NA
Chan1997	6	group1	NIDDM patients with normal renal function	1.5	18.2238	0.6841	1.6756910341	6.0477	0.4203	1.0295082914	9.6398	1.9631	4.808598213	0.2932	0.1623	0.3975611259
Chan1997	6	group1	NIDDM patients with normal renal function	2.0	15.5956	0.6319	1.5479476945	6.0445	0.5781	1.4161210555	10.8128	1.7275	4.2314886317	0.1885	0.0314	0.07694734
Chan1997	6	group1	NIDDM patients with normal renal function	3.0	11.1288	0.4749	1.1632430829	5.3549	0.6294	1.5416272761	10.8040	1.9644	4.8118584839	0.2356	0.0366	0.0897718395
Chan1997	6	group1	NIDDM patients with normal renal function	4.0	8.6611	NA	NA	4.6136	0.6299	1.5429438768	9.5360	1.3346	3.2689836827	0.2696	0.0183	0.0448859687
Chan1997	6	group1	NIDDM patients with normal renal function	5.0	6.2470	0.0004	0.000883531	3.7149	0.5778	1.4152436483	8.2706	1.4919	3.6543766008	0.2487	0.0236	0.0577104682
Chan1997	6	group1	NIDDM patients with normal renal function	6.0	4.8323	0.4209	1.0310818437	3.2353	0.5244	1.2844702899	6.7689	0.9424	2.3084407749	0.2277	0.0209	0.0512982185
Chan1997	6	group1	NIDDM patients with normal renal function	7.0	3.5232	0.3154	0.7726494081	2.5468	0.3676	0.9004897475	5.8954	1.0992	2.6925281151	0.2199	0.0209	0.0512982185
Chan1997	6	group1	NIDDM patients with normal renal function	8.0	3.0559	NA	NA	2.0153	0.2098	0.5138760036	1.0952	0.3149	0.7714361759	0.2042	0.0236	0.0577104927
