	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
276	Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	thalf		5.2	2.4					h	
277	Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	vd	yes	0.54	0.17					l/kg	
278	Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.4	0.5					ml/min/kg	
279	Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	plasma_binding		0.313	1.8					-	
280	Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	clearance_unbound	yes	2.0	0.7					ml/min/kg	
281	Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	thalf		6.1	1.9					h	
282	Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	vd	yes	0.47	0.16					l/kg	
283	Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	clearance	yes	0.9	0.3					ml/min/kg	
284	Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	plasma_binding		25.5	4.0					-	
285	Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	clearance_unbound	yes	1.2	0.4					ml/min/kg	
