study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
Abernethy1985	oral contraceptive (OC)	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	1.05		0.1				ml/min/kg	
Abernethy1985	oral contraceptive (OC)	S1	D1	caffeine	Tab1	E1	plasma	vd	yes	0.69		0.03				l/kg	
Abernethy1985	oral contraceptive (OC)	S1	D1	caffeine	Tab1	E1	plasma	thalf		7.88		0.49				h	
Abernethy1985	oral contraceptive (OC)	S1	D1	caffeine	Tab1	E1	plasma	tmax		1.52		0.26				h	
Abernethy1985	oral contraceptive (OC)	S1	D1	caffeine	Tab1	E1	plasma	cmax		3.99		0.27				µg/ml	
Abernethy1985	control	S2	D1	caffeine	Tab1	E2	plasma	clearance	yes	1.75		0.2				ml/min/kg	
Abernethy1985	control	S2	D1	caffeine	Tab1	E2	plasma	vd	yes	0.75		0.07				l/kg	
Abernethy1985	control	S2	D1	caffeine	Tab1	E2	plasma	thalf		5.37		0.62				h	
Abernethy1985	control	S2	D1	caffeine	Tab1	E2	plasma	tmax		0.79		0.11				h	
Abernethy1985	control	S2	D1	caffeine	Tab1	E2	plasma	cmax		4.09		0.24				µg/ml	
Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.9	0.8					ml/min/kg	
Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	thalf		7.2	3					h	
Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	tmax		1.1	1					h	
Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	cmax		5.9	2.8					µg/ml	
Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	auc		55.6	24					µg/ml*h	
Akinyinka2000	control	S1	D1	caffeine	Tab2	E1	plasma	auc	yes	649	251					µg/ml*h/kg	
Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	clearance	yes	2.4	2					ml/min/kg	
Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	thalf		9.5	5.2					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	tmax		1.3	1.2					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	cmax		4.9	1.8					µg/ml	
Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	auc		74.7	39.7					µg/ml*h	
Akinyinka2000	Plasmodium falciparum	S2	D1	caffeine	Tab2	E2	plasma	auc	yes	0.72	569					µg/ml*h/kg	
Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	thalf		9.1	9					h	
Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	tmax		7.9	3.7					h	
Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	cmax		1.4	0.5					µg/ml	
Akinyinka2000	control	S1	D1	paraxanthine	Tab2	E3	plasma	auc		24.7	9					µg/ml*h	
Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	thalf		11.6	5.3					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	tmax		11.4	7.1					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	cmax		0.9	0.4					µg/ml	
Akinyinka2000	Plasmodium falciparum	S2	D1	paraxanthine	Tab2	E4	plasma	auc		23.8	11.4					µg/ml*h	
Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	thalf		14.4	7.4					h	
Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	tmax		10.3	7.6					h	
Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	cmax		0.21	0.1					µg/ml	
Akinyinka2000	control	S1	D1	theophylline	Tab2	E5	plasma	auc		7.2	5.6					µg/ml*h	
Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	thalf		17.7	4.8					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	tmax		13.8	7.3					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	cmax		0.14	0.09					µg/ml	
Akinyinka2000	Plasmodium falciparum	S2	D1	theophylline	Tab2	E6	plasma	auc		6.1	4.1					µg/ml*h	
Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	thalf		14.5	8.4					h	
Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	tmax		10.2	6					h	
Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	cmax		0.2	0.04					µg/ml	
Akinyinka2000	control	S1	D1	theobromine	Tab2	E7	plasma	auc		4.1	2.2					µg/ml*h	
Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	thalf		17.4	4.8					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	tmax		12.4	6.9					h	
Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	cmax		0.24	0.09					µg/ml	
Akinyinka2000	Plasmodium falciparum	S2	D1	theobromine	Tab2	E8	plasma	auc		7.1	3.4					µg/ml*h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	cmax		5.8	3.2					µg/ml	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	tmax		1.5	1.8					h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	auc		51.9	26.9					µg/ml*h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	auc	yes	609	297					µg/ml*h/kg	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	thalf		6	1.7					h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	clearance	yes	1.8	0.7					ml/min/kg	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	cmax		1.5	0.6					µg/ml	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	tmax		7	3.4					h	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	auc		29.1	9.4					µg/ml*h	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	thalf		10.5	4.4					h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	saliva	cmax		4.8	8					µg/ml	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	saliva	tmax		1.3	1					h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	saliva	auc		35.5	18.9					µg/ml*h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	saliva	auc	yes	427	239					µg/ml*h/kg	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	saliva	thalf		7.1	3.8					h	
Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	saliva	clearance	yes	2.8	1.2					ml/min/kg	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	saliva	cmax		1	0.4					µg/ml	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	saliva	tmax		8	2.8					h	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	saliva	auc		16.8	9.9					µg/ml*h	
Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	saliva	thalf		6.9	8.7					h	
Amchin1999	control	S1	D1	caffeine	Tab1	E1	plasma	clearance		84.8	35.5					ml/min	
Amchin1999	control	S1	D1	caffeine	Tab1	E1	plasma	vd		36.7	8.1					l	
Amchin1999	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		6.1	3.55					h	
Amchin1999	control	S1	D1	caffeine	Tab1	E1	plasma	tmax		1.2	0.68					h	
Amchin1999	control	S1	D1	caffeine	Tab1	E1	plasma	cmax		4.96	0.83					µg/ml	
Amchin1999	control	S1	D1	caffeine	Tab1	E1	plasma	auc		48.7	26.9					µg/ml*h	
Amchin1999	control	S1	D1	17X	Tab2	E1	urine (24h)	amount		8.75	3.07					mg	
Amchin1999	control	S1	D1	37X	Tab2	E1	urine (24h)	amount		1.91	0.94					mg	
Amchin1999	control	S1	D1	17U	Tab2	E1	urine (24h)	amount		13.4	3.6					mg	
Amchin1999	control	S1	D1	1X	Tab2	E1	urine (24h)	amount		15.2	5.9					mg	
Amchin1999	control	S1	D1	1U	Tab2	E1	urine (24h)	amount		24.5	9					mg	
Amchin1999	control	S1	D1	AAMU	Tab2	E1	urine (24h)	amount		36.1	18.6					mg	
Amchin1999	venlafaxine	S1	D1	caffeine	Tab1	E2	plasma	clearance		90.3	40.1					ml/min	
Amchin1999	venlafaxine	S1	D1	caffeine	Tab1	E2	plasma	vd		35	8.1					l	
Amchin1999	venlafaxine	S1	D1	caffeine	Tab1	E2	plasma	thalf		5.46	3.19					h	
Amchin1999	venlafaxine	S1	D1	caffeine	Tab1	E2	plasma	tmax		1	0.42					h	
Amchin1999	venlafaxine	S1	D1	caffeine	Tab1	E2	plasma	cmax		5.48	1.63					µg/ml	
Amchin1999	venlafaxine	S1	D1	caffeine	Tab1	E2	plasma	auc		46.4	26.5					µg/ml*h	
Amchin1999	venlafaxine	S1	D1	17X	Tab2	E2	urine (24h)	amount		7.96	2.75					mg	
Amchin1999	venlafaxine	S1	D1	37X	Tab2	E2	urine (24h)	amount		1.66	0.48					mg	
Amchin1999	venlafaxine	S1	D1	17U	Tab2	E2	urine (24h)	amount		13.7	4.4					mg	
Amchin1999	venlafaxine	S1	D1	1X	Tab2	E2	urine (24h)	amount		16.7	6.3					mg	
Amchin1999	venlafaxine	S1	D1	1U	Tab2	E2	urine (24h)	amount		25.7	8.7					mg	
Amchin1999	venlafaxine	S1	D1	AAMU	Tab2	E2	urine (24h)	amount		39.6	21.2					mg	
Balogh1992	control	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	2.52	0.97					ml/min/kg	
Balogh1992	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		3.3	1.14					h	
Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	vd		30.6	3.72					l	
Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	thalf		4.44	1.48					h	
Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	tmax		1.96	0.65					h	
Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	cmax		4.97	0.88					µg/ml	
Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E1	plasma	vd		29.3	4					l	
Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E2	plasma	thalf		4.82	2.41					h	
Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E2	plasma	tmax		1.89	0.98					h	
Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E2	plasma	cmax		5.23	0.98					µg/ml	
Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	vd		29.8	3.52					l	
Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	thalf		4.66	2.11					h	
Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	tmax		1.82	0.45					h	
Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	cmax		5.15	0.97					µg/ml	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	vd		27.8	5.2					l	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	thalf		8.92	3.08					h	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	tmax		2.6	1.21					h	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	cmax		6.01	0.39					µg/ml	
Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	vd		28.9	3.8					l	
Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	thalf		4.7	1.52					h	
Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	tmax		1.75	0.8					h	
Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	cmax		5.55	1.25					µg/ml	
Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	vd		29.5	4.5					l	
Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	thalf		3.32	0.84					h	
Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	tmax		2.23	0.96					h	
Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	cmax		4.28	0.99					µg/ml	
Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	vd		31.7	4.3					l	
Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	thalf		4.15	1.59					h	
Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	tmax		1.66	0.84					h	
Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	cmax		4.86	1.18					µg/ml	
Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	vd		31.2	3.9					l	
Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	thalf		3.96	1.21					h	
Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	tmax		1.58	0.77					h	
Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	cmax		4.89	0.95					µg/ml	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	vd		34.4	4.73					l	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	thalf		9.15	2.65					h	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	tmax		1.83	0.75					h	
Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	cmax		5.1	0.9					µg/ml	
Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	vd		31.3	2.8					l	
Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	thalf		4.19	1.26					h	
Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	tmax		1.79	0.66					h	
Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	cmax		4.79	0.87					µg/ml	
Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	clearance		164	62					ml/min	
Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	2	0.8					ml/min/kg	
Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	thalf		205	94					min	
Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	tmax		90	35					min	
Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	cmax		4	0.8					µg/ml	
Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	clearance		115	41					ml/min	
Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	clearance	yes	1.4	0.6					ml/min/kg	
Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	thalf		289	130					min	
Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	tmax		79	34					min	
Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	cmax		4.3	0.9					µg/ml	
Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	clearance		125	52					ml/min	
Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	clearance	yes	1.5	0.7					ml/min/kg	
Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	thalf		276	132					min	
Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	tmax		98	30					min	
Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	cmax		4.1	0.8					µg/ml	
Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	clearance		488	144					ml/min	
Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	clearance	yes	5.9	1.5					ml/min/kg	
Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	thalf		66	9.9					min	
Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	tmax		84	42					min	
Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	cmax		4	2.2					µg/ml	
Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	clearance		414	131					ml/min	
Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	clearance	yes	5	1.4					ml/min/kg	
Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	thalf		62.6	9.9					min	
Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	tmax		84	52					min	
Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	cmax		4.8	2					µg/ml	
Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	clearance		396	115					ml/min	
Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	clearance	yes	4.8	1					ml/min/kg	
Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	thalf		62.2	9					min	
Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	tmax		69	20					min	
Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	cmax		4.9	1.2					µg/ml	
Bonati1982	control	S1	D1	caffeine	Tab1	E1	plasma	clearance		104		26				ml/min	
Bonati1982	control	S1	D1	caffeine	Tab1	E1	plasma	vd		33.7		3.8				l	
Bonati1982	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		3.4						h	
Bonati1982	control	S1	D1	caffeine	Tab1	E1	plasma	auc		170		29				mg/l*min	
Bonati1982	control	S1	D1	caffeine	Tab1	E1	plasma	kel		205		73				1/h	
Bonati1982	control	S1	D1	caffeine	Tab1	E1	plasma	kabs		3.15		0.45				1/h	
Bonati1982	control	S1	D2	caffeine	Tab1	E2	plasma	clearance		133		14				ml/min	
Bonati1982	control	S1	D2	caffeine	Tab1	E2	plasma	vd		48.7		2.8				l	
Bonati1982	control	S1	D2	caffeine	Tab1	E2	plasma	thalf		4.2						h	
Bonati1982	control	S1	D2	caffeine	Tab1	E2	plasma	auc		544		64				mg/l*min	
Bonati1982	control	S1	D2	caffeine	Tab1	E2	plasma	kel		165		17				1/h	
Bonati1982	control	S1	D2	caffeine	Tab1	E2	plasma	kabs		5.51		1.84				1/h	
Bonati1982	control	S1	D3	caffeine	Tab1	E3	plasma	clearance		119		14				ml/min	
Bonati1982	control	S1	D3	caffeine	Tab1	E3	plasma	vd		53.5		5.7				l	
Bonati1982	control	S1	D3	caffeine	Tab1	E3	plasma	thalf		5						h	
Bonati1982	control	S1	D3	caffeine	Tab1	E3	plasma	auc		977		148				mg/l*min	
Bonati1982	control	S1	D3	caffeine	Tab1	E3	plasma	kel		139		25				1/h	
Bonati1982	control	S1	D3	caffeine	Tab1	E3	plasma	kabs		5.6		1.75				1/h	
Bonati1982	control	S1	D4	caffeine	Tab1	E4	plasma	clearance		71.9		9				ml/min	
Bonati1982	control	S1	D4	caffeine	Tab1	E4	plasma	vd		39.4		1.6				l	
Bonati1982	control	S1	D4	caffeine	Tab1	E4	plasma	thalf		6.3						h	
Bonati1982	control	S1	D4	caffeine	Tab1	E4	plasma	auc		5164		691				mg/l*min	
Bonati1982	control	S1	D4	caffeine	Tab1	E4	plasma	kel		0.11		16				1/h	
Bonati1982	control	S1	D4	caffeine	Tab1	E4	plasma	kabs		6.31		1.91				1/h	
Bonati1982	control	S1	D5	caffeine	Tab1	E5	plasma	clearance		103						ml/min	
Bonati1982	control	S1	D5	caffeine	Tab1	E5	plasma	vd		46.5						l	
Bonati1982	control	S1	D5	caffeine	Tab1	E5	plasma	thalf		5.2						h	
Bonati1982	control	S1	D5	caffeine	Tab1	E5	plasma	auc		6815						mg/l*min	
Bonati1982	control	S1	D5	caffeine	Tab1	E5	plasma	kel		133						1/h	
Bonati1982	control	S1	D5	caffeine	Tab1	E5	plasma	kabs		40.76						1/h	
