	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
242	Renner1984	control	S1	D1	caffeine	Tab3	E1	plasma	clearance	yes	2.02	0.68			1.3	3.56	ml/min/kg	
243	Renner1984	control	S1	D1	caffeine	Tab3	E1	plasma	vd	yes	0.64	0.13			0.48	0.97	l/kg	
244	Renner1984	control	S1	D1	caffeine	Tab3	E1	plasma	thalf		3.8	0.9			2.1	4.7	h	
245	Renner1984	cirrhosis	S2	D1	caffeine	Tab3	E2	plasma	clearance	yes	0.67	0.42			0.14	1.29	ml/min/kg	
246	Renner1984	cirrhosis	S2	D1	caffeine	Tab3	E2	plasma	vd		0.57	0.14			0.37	0.72	l/kg	
247	Renner1984	cirrhosis	S2	D1	caffeine	Tab3	E2	plasma	thalf		17.5	16.5			4.5	50.2	h	
248	Renner1984	pbc	S3	D1	caffeine	Tab3	E3	plasma	clearance	yes	0.87	0.37			0.42	1.33	ml/min/kg	
249	Renner1984	pbc	S3	D1	caffeine	Tab3	E3	plasma	vd		0.57	0.2			0.25	0.86	l/kg	
250	Renner1984	pbc	S3	D1	caffeine	Tab3	E3	plasma	thalf		9.4	5.9			5.1	18.3	h	
251	Renner1984	misc liver disease	S4	D1	caffeine	Tab3	E4	plasma	clearance	yes	1.52	0.48			0.61	2.34	ml/min/kg	
252	Renner1984	misc liver disease	S4	D1	caffeine	Tab3	E4	plasma	vd		0.55	0.07			0.42	0.62	l/kg	
253	Renner1984	misc liver disease	S4	D1	caffeine	Tab3	E4	plasma	thalf		4.7	2.1			3.0	10.4	h	
