	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
92	Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	vd		30.6	3.72					l	
93	Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	thalf		4.44	1.48					h	
94	Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	tmax		1.96	0.65					h	
95	Balogh1995	control (gestodene, Cycle 1)	S1	D1	caffeine	Tab2	E1	plasma	cmax		4.97	0.88					µg/ml	
96	Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E1	plasma	vd		29.3	4.0					l	
97	Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E2	plasma	thalf		4.82	2.41					h	
98	Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E2	plasma	tmax		1.89	0.98					h	
99	Balogh1995	control (gestodene, Cycle 2)	S1	D1	caffeine	Tab2	E2	plasma	cmax		5.23	0.98					µg/ml	
100	Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	vd		29.8	3.52					l	
101	Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	thalf		4.66	2.11					h	
102	Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	tmax		1.82	0.45					h	
103	Balogh1995	control (gestodene, Cycle 3)	S1	D1	caffeine	Tab2	E3	plasma	cmax		5.15	0.97					µg/ml	
104	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	vd		27.8	5.2					l	
105	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	thalf		8.92	3.08					h	
106	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	tmax		2.6	1.21					h	
107	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E4	plasma	cmax		6.01	0.39					µg/ml	
108	Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	vd		28.9	3.8					l	
109	Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	thalf		4.7	1.52					h	
110	Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	tmax		1.75	0.8					h	
111	Balogh1995	control (gestodene, Cycle 5)	S1	D1	caffeine	Tab2	E5	plasma	cmax		5.55	1.25					µg/ml	
112	Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	vd		29.5	4.5					l	
113	Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	thalf		3.32	0.84					h	
114	Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	tmax		2.23	0.96					h	
115	Balogh1995	control (levonorgestrel, Cycle 1)	S1	D1	caffeine	Tab2	E6	plasma	cmax		4.28	0.99					µg/ml	
116	Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	vd		31.7	4.3					l	
117	Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	thalf		4.15	1.59					h	
118	Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	tmax		1.66	0.84					h	
119	Balogh1995	control (levonorgestrel, Cycle 2)	S1	D1	caffeine	Tab2	E7	plasma	cmax		4.86	1.18					µg/ml	
120	Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	vd		31.2	3.9					l	
121	Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	thalf		3.96	1.21					h	
122	Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	tmax		1.58	0.77					h	
123	Balogh1995	control (levonorgestrel, Cycle 3)	S1	D1	caffeine	Tab2	E8	plasma	cmax		4.89	0.95					µg/ml	
124	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	vd		34.4	4.73					l	
125	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	thalf		9.15	2.65					h	
126	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	tmax		1.83	0.75					h	
127	Balogh1995	OC (gestodene, Cycle 4)	S1	D1	caffeine	Tab2	E9	plasma	cmax		5.1	0.9					µg/ml	
128	Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	vd		31.3	2.8					l	
129	Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	thalf		4.19	1.26					h	
130	Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	tmax		1.79	0.66					h	
131	Balogh1995	control (levonorgestrel, Cycle 5)	S1	D1	caffeine	Tab2	E10	plasma	cmax		4.79	0.87					µg/ml	
