	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
364	Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	thalf		2.9	0.7					h	
365	Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	auc		20.6	8.4					mg/l*h	dose-normalized to 3.0 mg/kg
366	Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	tmax		0.83	0.44					h	
367	Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	cmax		4.09	0.86					mg/l	
368	Harder1988	OFL	S1	D_CAF; D_OFL	caffeine	Tab3	E2	plasma	thalf		2.8	1.0					h	
369	Harder1988	OFL	S1	D_CAF; D_OFL	caffeine	Tab3	E2	plasma	auc		20.3	8.4					mg/l*h	dose-normalized to 3.0 mg/kg
370	Harder1988	OFL	S1	D_CAF; D_OFL	caffeine	Tab3	E2	plasma	tmax		0.68	0.26					h	
371	Harder1988	OFL	S1	D_CAF; D_OFL	caffeine	Tab3	E2	plasma	cmax		4.34	1.08					mg/l	
372	Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	thalf		3.2	1.1					h	
373	Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	auc		21.4	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
374	Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	tmax		0.6	0.2					h	
375	Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	cmax		4.33	0.79					mg/l	
376	Harder1988	NOR	S1	D_CAF; D_NOR	caffeine	Tab3	E4	plasma	thalf		3.7	1.1					h	
377	Harder1988	NOR	S1	D_CAF; D_NOR	caffeine	Tab3	E4	plasma	auc		24.9	10.0					mg/l*h	dose-normalized to 3.0 mg/kg
378	Harder1988	NOR	S1	D_CAF; D_NOR	caffeine	Tab3	E4	plasma	tmax		0.8	0.3					h	
379	Harder1988	NOR	S1	D_CAF; D_NOR	caffeine	Tab3	E4	plasma	cmax		4.37	0.85					mg/l	
380	Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	thalf		3.3	1.1					h	
381	Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	auc		21.8	8.7					mg/l*h	dose-normalized to 3.0 mg/kg
382	Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	tmax		1.1	0.6					h	
383	Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	cmax		3.86	0.55					mg/l	
384	Harder1988	PPA	S1	D_CAF; D_PPA	caffeine	Tab3	E6	plasma	thalf		7.3	3.2					h	
385	Harder1988	PPA	S1	D_CAF; D_PPA	caffeine	Tab3	E6	plasma	auc		60.8	27.3					mg/l*h	dose-normalized to 3.0 mg/kg
386	Harder1988	PPA	S1	D_CAF; D_PPA	caffeine	Tab3	E6	plasma	tmax		2.0	1.7					h	
387	Harder1988	PPA	S1	D_CAF; D_PPA	caffeine	Tab3	E6	plasma	cmax		5.17	0.83					mg/l	
388	Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	thalf		3.4	1.2					h	
389	Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	auc		21.4	9.2					mg/l*h	dose-normalized to 3.0 mg/kg
390	Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	tmax		1.0	0.5					h	
391	Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	cmax		3.94	0.6					mg/l	
392	Harder1988	CIP1	S1	D_CAF; D_CIP1	caffeine	Tab3	E8	plasma	thalf		3.6	1.5					h	
393	Harder1988	CIP1	S1	D_CAF; D_CIP1	caffeine	Tab3	E8	plasma	auc		25.0	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
394	Harder1988	CIP1	S1	D_CAF; D_CIP1	caffeine	Tab3	E8	plasma	tmax		1.0	0.5					h	
395	Harder1988	CIP1	S1	D_CAF; D_CIP1	caffeine	Tab3	E8	plasma	cmax		4.21	0.59					mg/l	
396	Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	thalf		3.4	0.9					h	
397	Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	auc		22.4	7.5					mg/l*h	dose-normalized to 3.0 mg/kg
398	Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	tmax		0.71	0.26					h	
399	Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	cmax		4.49	1.29					mg/l	
400	Harder1988	CIP2	S1	D_CAF; D_CIP2	caffeine	Tab3	E10	plasma	thalf		3.9	1.0					h	
401	Harder1988	CIP2	S1	D_CAF; D_CIP2	caffeine	Tab3	E10	plasma	auc		35.2	18.7					mg/l*h	dose-normalized to 3.0 mg/kg
402	Harder1988	CIP2	S1	D_CAF; D_CIP2	caffeine	Tab3	E10	plasma	tmax		1.04	0.75					h	
403	Harder1988	CIP2	S1	D_CAF; D_CIP2	caffeine	Tab3	E10	plasma	cmax		4.88	0.81					mg/l	
404	Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	thalf		3.4	1.0					h	
405	Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	auc		20.4	6.8					mg/l*h	dose-normalized to 3.0 mg/kg
406	Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	tmax		0.9	0.4					h	
407	Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	cmax		3.91	1.06					mg/l	
408	Harder1988	CIP3	S1	D_CAF; D_CIP3	caffeine	Tab3	E12	plasma	thalf		4.3	1.2					h	
409	Harder1988	CIP3	S1	D_CAF; D_CIP3	caffeine	Tab3	E12	plasma	auc		32.2	13.6					mg/l*h	dose-normalized to 3.0 mg/kg
410	Harder1988	CIP3	S1	D_CAF; D_CIP3	caffeine	Tab3	E12	plasma	tmax		0.9	0.4					h	
411	Harder1988	CIP3	S1	D_CAF; D_CIP3	caffeine	Tab3	E12	plasma	cmax		4.57	0.74					mg/l	
412	Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	thalf		3.0	1.1					h	
413	Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	auc		20.0	7.8					mg/l*h	dose-normalized to 3.0 mg/kg
414	Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	tmax		0.8	0.3					h	
415	Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	cmax		3.99	0.8					mg/l	
416	Harder1988	ENX1	S1	D_CAF; D_ENX1	caffeine	Tab3	E14	plasma	thalf		6.1	1.7					h	
417	Harder1988	ENX1	S1	D_CAF; D_ENX1	caffeine	Tab3	E14	plasma	auc		47.6	17.2					mg/l*h	dose-normalized to 3.0 mg/kg
418	Harder1988	ENX1	S1	D_CAF; D_ENX1	caffeine	Tab3	E14	plasma	tmax		1.0	0.6					h	
419	Harder1988	ENX1	S1	D_CAF; D_ENX1	caffeine	Tab3	E14	plasma	cmax		5.0	1.14					mg/l	
420	Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	thalf		3.4	1.2					h	
421	Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	auc		21.8	8.7					mg/l*h	dose-normalized to 3.0 mg/kg
422	Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	tmax		1.0	0.5					h	
423	Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	cmax		4.27	0.62					mg/l	
424	Harder1988	ENX2	S1	D_CAF; D_ENX2	caffeine	Tab3	E16	plasma	thalf		7.7	2.5					h	
425	Harder1988	ENX2	S1	D_CAF; D_ENX2	caffeine	Tab3	E16	plasma	auc		60.2	15.4					mg/l*h	dose-normalized to 3.0 mg/kg
426	Harder1988	ENX2	S1	D_CAF; D_ENX2	caffeine	Tab3	E16	plasma	tmax		1.0	0.5					h	
427	Harder1988	ENX2	S1	D_CAF; D_ENX2	caffeine	Tab3	E16	plasma	cmax		5.15	1.0					mg/l	
428	Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	thalf		3.3	1.3					h	
429	Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	auc		22.6	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
430	Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	tmax		0.7	0.3					h	
431	Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	cmax		3.9	0.7					mg/l	
432	Harder1988	ENX3	S1	D_CAF; D_ENX3	caffeine	Tab3	E18	plasma	thalf		11.8	5.0					h	
433	Harder1988	ENX3	S1	D_CAF; D_ENX3	caffeine	Tab3	E18	plasma	auc		100.8	31.5					mg/l*h	dose-normalized to 3.0 mg/kg
434	Harder1988	ENX3	S1	D_CAF; D_ENX3	caffeine	Tab3	E18	plasma	tmax		1.1	0.7					h	
435	Harder1988	ENX3	S1	D_CAF; D_ENX3	caffeine	Tab3	E18	plasma	cmax		5.51	1.04					mg/l	
436	Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	thalf		3.0	1.2					h	
437	Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	auc		16.0	5.2					mg/l*h	dose-normalized to 3.0 mg/kg
438	Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	tmax		5.7	1.89					h	
439	Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	cmax		1.17	0.22					mg/l	
440	Harder1988	OFL	S1	D_CAF; D_OFL	paraxanthine	Tab4	E2	plasma	thalf		2.8	1.2					h	
441	Harder1988	OFL	S1	D_CAF; D_OFL	paraxanthine	Tab4	E2	plasma	auc		15.2	6.0					mg/l*h	dose-normalized to 3.0 mg/kg
442	Harder1988	OFL	S1	D_CAF; D_OFL	paraxanthine	Tab4	E2	plasma	tmax		4.32	0.94					h	
443	Harder1988	OFL	S1	D_CAF; D_OFL	paraxanthine	Tab4	E2	plasma	cmax		1.11	0.16					mg/l	
444	Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	thalf		2.8	1.3					h	
445	Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	auc		23.8	9.0					mg/l*h	dose-normalized to 3.0 mg/kg
446	Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	tmax		4.7	2.1					h	
447	Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	cmax		1.56	0.45					mg/l	
448	Harder1988	NOR	S1	D_CAF; D_NOR	paraxanthine	Tab4	E4	plasma	thalf		3.4	1.3					h	
449	Harder1988	NOR	S1	D_CAF; D_NOR	paraxanthine	Tab4	E4	plasma	auc		26.4	13.6					mg/l*h	dose-normalized to 3.0 mg/kg
450	Harder1988	NOR	S1	D_CAF; D_NOR	paraxanthine	Tab4	E4	plasma	tmax		6.0	3.2					h	
451	Harder1988	NOR	S1	D_CAF; D_NOR	paraxanthine	Tab4	E4	plasma	cmax		1.5	0.39					mg/l	
452	Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	thalf		2.7	1.2					h	
453	Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	auc		22.0	6.7					mg/l*h	dose-normalized to 3.0 mg/kg
454	Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	tmax		4.8	2.2					h	
