study	n	substance	time	apap_mol	apap_mol_se	apap_mol_sd	apap	apap_se	apap_sd
Chiew2010	9	paracetamol	0.0	9.8165	NA	NA	1.4839	NA	NA
Chiew2010	9	paracetamol	0.5	459.3074	139.3943	418.18	69.4289	21.0708	63.2125
Chiew2010	9	paracetamol	0.8	569.1950	137.4215	412.26	86.0395	20.7726	62.3179
Chiew2010	9	paracetamol	1.0	459.1833	98.1555	294.47	69.4101	14.8372	44.5116
Chiew2010	9	paracetamol	1.5	386.4171	56.9357	170.81	58.4108	8.6064	25.8192
Chiew2010	9	paracetamol	2.0	386.2834	31.4224	94.27	58.3906	4.7498	14.2494
Chiew2010	9	paracetamol	3.0	348.7325	11.8085	35.43	52.7144	1.7850	5.3549
Chiew2010	9	paracetamol	4.0	281.7416	9.8165	29.45	42.5881	1.4839	4.4516
Chiew2010	9	paracetamol	6.0	177.1807	NA	NA	26.7826	NA	NA
Chiew2010	9	paracetamol	8.0	98.1619	NA	NA	14.8381	NA	NA
Chiew2010	9	paracetamol	10.0	58.4185	NA	NA	8.8305	NA	NA
Chiew2010	9	paracetamol	12.0	32.4088	NA	NA	4.8989	NA	NA
Chiew2010	6	paracetamol	16.0	11.8021	NA	NA	1.7840	NA	NA
Chiew2010	6	paracetamol	24.0	5.8804	NA	NA	0.8889	NA	NA
Chiew2010	9	PEx	0.0	1.9769	NA	NA	0.2988	NA	NA
Chiew2010	9	PEx	0.5	195.4363	33.5622	100.69	29.5421	5.0733	15.2198
Chiew2010	9	PEx	0.8	217.1691	33.5494	100.65	32.8273	5.0713	15.2140
Chiew2010	9	PEx	1.0	240.8693	31.5726	94.72	36.4098	4.7725	14.3175
Chiew2010	9	PEx	1.5	242.8845	23.6778	71.03	36.7144	3.5791	10.7374
Chiew2010	9	PEx	2.0	244.8997	25.6611	76.98	37.0190	3.8789	11.6368
Chiew2010	9	PEx	3.0	250.9038	17.7664	53.30	37.9266	2.6856	8.0567
Chiew2010	9	PEx	4.0	223.3585	5.9243	17.77	33.7629	0.8955	2.6865
Chiew2010	9	PEx	6.0	144.5708	NA	NA	21.8533	NA	NA
Chiew2010	9	PEx	8.0	105.2600	NA	NA	15.9111	NA	NA
Chiew2010	9	PEx	10.1	73.8567	NA	NA	11.1642	NA	NA
Chiew2010	9	PEx	12.0	50.3321	NA	NA	7.6082	NA	NA
Chiew2010	6	PEx	16.0	24.9968	NA	NA	3.7785	NA	NA
Chiew2010	6	PEx	24.0	7.8947	NA	NA	1.1934	NA	NA

