	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	time	time_unit	cv	sd	min	max	median	name	route	value_intervention	unit_intervention	substance_name_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	('study', '')	('subject_pk', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('sex', 'choice')	('sex', 'count')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'unit')	('abstinence', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('overnight fast', 'unit')	('overnight fast', 'value')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'min')	('fasted', 'unit')	('fasted', 'value')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'unit')	('alcohol abstinence', 'value')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('HbA1c', 'count')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('HbA1c', 'value')	('phenotype', 'choice')	('phenotype', 'count')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'mean')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('genetics', 'choice')	('genetics', 'count')	('caffeine', 'choice')	('caffeine', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'se')	('obesity index', 'unit')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'se')	('body surface area', 'unit')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('medication type', 'choice')	('medication type', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
0	cmax	µg/ml	plasma	609	caffeine			485.0	3.2	0.67			0.47	1.5				Dcaf_2mg	oral	2.0	mg/kg	caffeine	h	0.0	capsule	single dose					Benowitz1995	485	2mg	homo sapiens	12	Y	12.0	12.0		59.0	32.0		19.0			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12.0					N	12																																															12.0	0.64	1168.0	506.0	68.0	324.0	93.53	mg/day																											Y	12																																																							
1	cmax	µg/ml	plasma	609	paraxanthine			485.0	1.4	0.4			0.64	0.9				Dcaf_2mg	oral	2.0	mg/kg	caffeine	h	0.0	capsule	single dose					Benowitz1995	485	2mg	homo sapiens	12	Y	12.0	12.0		59.0	32.0		19.0			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12.0					N	12																																															12.0	0.64	1168.0	506.0	68.0	324.0	93.53	mg/day																											Y	12																																																							
2	cmax	µg/ml	plasma	611	paraxanthine			485.0	2.8	0.31			0.25	0.7				Dpx_2mg	oral	2.0	mg/kg	paraxanthine	h	0.0	capsule	single dose					Benowitz1995	485	2mg	homo sapiens	12	Y	12.0	12.0		59.0	32.0		19.0			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12.0					N	12																																															12.0	0.64	1168.0	506.0	68.0	324.0	93.53	mg/day																											Y	12																																																							
3	thalf	h	plasma	624	caffeine			489.0	5.2		24.0	h						D5	oral	10.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
4	auc_end	mg*h/l	plasma	624	caffeine			489.0	113.58		24.0	h						D5	oral	10.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
5	vd	l	plasma	624	caffeine			489.0	46.5		24.0	h						D5	oral	10.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
6	clearance	ml/min	plasma	624	caffeine			489.0	46.5	103.0	24.0	h						D5	oral	10.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
7	kabs	1/h	plasma	624	caffeine			489.0	40.76		24.0	h						D5	oral	10.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
8	kel	1/h	plasma	624	caffeine			489.0	0.13		24.0	h						D5	oral	10.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
9	kabs	1/h	plasma	620	caffeine			489.0	3.15	0.45	24.0	h						D1	oral	0.22	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
10	kel	1/h	plasma	620	caffeine			489.0	0.2	0.07	24.0	h						D1	oral	0.22	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
11	thalf	h	plasma	620	caffeine			489.0	3.4		24.0	h						D1	oral	0.22	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
12	auc_end	mg*h/l	plasma	620	caffeine			489.0	2.83	0.48	24.0	h	0.34					D1	oral	0.22	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
13	vd	l	plasma	620	caffeine			489.0	33.7	3.8	24.0	h						D1	oral	0.22	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
14	clearance	ml/min	plasma	620	caffeine			489.0	104.0	26.0	24.0	h						D1	oral	0.22	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
15	kabs	1/h	plasma	621	caffeine			489.0	5.51	1.84	24.0	h						D2	oral	1.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
16	kel	1/h	plasma	621	caffeine			489.0	0.16	0.02	24.0	h						D2	oral	1.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
17	thalf	h	plasma	621	caffeine			489.0	4.2		24.0	h						D2	oral	1.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
18	auc_end	mg*h/l	plasma	621	caffeine			489.0	9.07	1.07	24.0	h	0.24					D2	oral	1.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
