study	pk	interventions	tissue	time_unit	time	substance_name	pktype	unit	figure	auc_end	group_pk	mean	kel	se	individual_pk	value	sd	cv	median	max	min
Loetsch2006	1938	771	plasma	h	[0.05, 0.1, 0.25, 0.64, 1.15, 1.67, 2.14, 2.59, 3.12, 3.6, 4.26, 4.58, 5.14]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	2106.1099999999997			0.13784868304211254		2076.0	[28.9, 169.53, 500.36, 620.74, 623.41, 478.96, 456.73, 343.92, 326.35, 372.0, 288.76, 311.8, 291.84]					
Kaplan1997	1757	735	plasma	h	[0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 6.0, 8.0]	paraxanthine	concentration	µg/ml	/media/data/Kaplan1997_Fig1.png	17.73	530.0	[0.38, 0.98, 1.01, 1.32, 1.62, 1.84, 2.07, 2.32, 2.6, 2.7, 2.77, 2.73]									
Spigset1999a	1824	750	plasma	h	[3.0, 4.0, 5.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Spigset1999a_Tab2.png	4.635	552.0	[0.34, 0.43, 0.54, 0.59, 0.82, 0.97]		[0.023094010767585, 0.0317542648054294, 0.0461880215351701, 0.0519615242270663, 0.0837157890324957, 0.101036297108185]			[0.08, 0.11, 0.16, 0.18, 0.29, 0.35]	[0.235294117647059, 0.255813953488372, 0.296296296296296, 0.305084745762712, 0.353658536585366, 0.360824742268041]	[0.32, 0.4, 0.5, 0.57, 0.78, 0.94]	[0.47, 0.64, 0.83, 0.94, 1.44, 1.66]	[0.22, 0.27, 0.31, 0.38, 0.47, 0.5]
Kaplan1997	1758	735	plasma	h	[0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 6.0, 8.0]	theobromine	concentration	µg/ml	/media/data/Kaplan1997_Fig1.png	4.43625	530.0	[0.29, 0.34, 0.32, 0.38, 0.46, 0.5, 0.52, 0.55, 0.6, 0.66, 0.66, 0.69]									
Kaplan1997	1759	735	plasma	h	[0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 6.0, 8.0]	theophylline	concentration	µg/ml	/media/data/Kaplan1997_Fig1.png		530.0	[None, None, 0.12, 0.14, 0.17, 0.19, 0.21, 0.23, 0.25, 0.28, 0.27, 0.29]									
Spigset1999a	1826	750	saliva	h	[3.0, 4.0, 5.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Spigset1999a_Tab2.png	5.029999999999999	552.0	[0.36, 0.47, 0.55, 0.7, 0.88, 1.02]		[0.0259807621135332, 0.0375277674973257, 0.0375277674973257, 0.0519615242270663, 0.0721687836487032, 0.0808290376865476]			[0.09, 0.13, 0.13, 0.18, 0.25, 0.28]	[0.25, 0.276595744680851, 0.236363636363636, 0.257142857142857, 0.284090909090909, 0.274509803921569]	[0.36, 0.45, 0.58, 0.7, 0.9, 1.0]	[0.54, 0.71, 0.78, 1.01, 1.28, 1.49]	[0.23, 0.28, 0.37, 0.45, 0.55, 0.61]
Loetsch2006	1936	771	plasma	h	[0.3, 0.5, 0.8, 1.4, 1.8, 2.3, 2.8, 3.3, 3.8, 4.2, 4.8, 5.3]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png						2074.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]					
Loetsch2006	1937	771	plasma	h	[0.0, 0.2, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png						2075.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]					
Loetsch2006	1939	771	plasma	h	[0.0, 0.1, 0.2, 0.6, 1.2, 1.6, 2.0, 2.5, 3.0, 3.5, 3.9, 4.5, 5.1]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	605.13			0.05048225062894264		2077.0	[32.8, 45.1, 93.5, 106.0, 103.4, 103.8, 104.3, 134.8, 129.2, 141.8, 136.1, 133.6, 128.1]					
Loetsch2006	1940	771	plasma	h	[0.0, 0.2, 0.4, 0.5, 0.8, 1.2, 1.7, 2.2, 2.6, 3.0, 3.5, 4.0, 4.5, 4.8]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png				-0.004151560945412576		2078.0	[27.7, None, 54.6, 75.4, 111.0, 137.9, 129.2, 111.8, 115.0, 118.2, 103.7, 104.0, 89.5, 69.1]					
Loetsch2006	1941	771	plasma	h	[0.4, 0.5, 0.8, 1.2, 1.6, 2.0, 2.4, 2.9, 3.3, 3.8, 4.3, 4.6, 5.0]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	147.97			0.4304198621822027		2079.0	[0.0, 2.0, 19.5, 34.1, 57.4, 51.2, 48.0, 38.9, 35.7, 20.7, 20.5, 20.3, 14.2]					
Loetsch2006	1942	771	plasma	h	[0.1, 0.3, 0.5, 1.0, 1.3, 1.8, 2.2, 2.7, 3.1, 3.6, 4.1, 4.5, 4.9]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	81.05263015			0.23277190991498356		2080.0	[9.022556, 9.022556, 4.511278, 21.052631, 22.55639, 22.55639, 22.55639, 16.541353, 18.045113, 18.045113, 18.045113, 10.526316, 10.526316]					
Loetsch2006	1943	771	plasma	h	[0.0, 0.2, 0.4, 0.9, 1.3, 1.8, 2.2, 2.7, 3.1, 3.6, 4.0, 4.5, 4.9]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	229.91500000000002			0.23168954559950072		2081.0	[13.1, 17.5, 24.8, 51.1, 70.1, 68.6, 55.5, 51.1, 51.1, 45.3, 38.0, 36.5, 30.7]					
Loetsch2006	1944	771	plasma	h	[0.0, 0.2, 0.5, 0.9, 1.4, 1.8, 2.2, 2.7, 3.2, 3.6, 4.1, 4.6, 5.0]	morphine-6-glucuronide	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	439.52			0.3301721329834555		2082.0	[6.7, 12.4, 36.9, 122.1, 149.4, 146.4, 123.1, 94.0, 85.2, 79.3, 59.0, 58.8, 48.6]					
Loetsch2006	1945	771	plasma	h	[0.0, 0.3, 0.7, 1.3, 1.8, 2.2, 2.7, 3.3, 4.0, 4.4, 5.0]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	419.965			0.18576475425485436		2072.0	[3.5, 5.3, 89.4, 102.1, 96.4, 87.0, 118.0, 88.4, 91.8, 84.3, 64.0]					
Loetsch2006	1946	771	plasma	h	[0.0, 0.3, 0.7, 1.3, 1.8, 2.2, 2.7, 3.3, 4.0, 4.5, 5.0]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	83.33			-0.023589986847162896		2073.0	[5.4, 6.4, 17.7, 19.8, 19.0, 16.4, 20.3, 15.9, 16.1, 19.1, 15.6]					
Loetsch2006	1947	771	plasma	h	[0.3, 0.5, 0.8, 1.4, 1.8, 2.3, 2.8, 3.3, 3.8, 4.2, 4.8, 5.3]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png						2074.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]					
Loetsch2006	1948	771	plasma	h	[0.0, 0.2, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png						2075.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]					
Butler1991	2066	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	[2-3H]glucose	ra	µmol/kg/min	/media/data/Butler1991_Fig8.png	2136.6	577.0	[9.35, 11.12, 6.12, 6.0, 5.53, 6.06, 7.24, 8.41]	-0.0014366012735159328	[1.06, 0.71, 0.47, 0.59, 0.53, 0.47, 0.82, 0.53]							
Butler1991	2067	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	[6-3H]glucose	ra	µmol/kg/min	/media/data/Butler1991_Fig8.png	2053.65	578.0	[13.31, 10.4, 6.77, 5.7, 6.36, 4.57, 6.83, 6.59]	0.0009471248191566078	[2.26, 1.31, 1.19, 1.43, 1.07, 1.01, 1.37, 1.13]							
Benowitz1995	1657	609	plasma	h	[0.0, 30.0, 40.0, 60.0, 75.0, 90.0, 120.0, 180.0]	caffeine	concentration	mg/l	/media/data/Benowitz1995_Fig1.png	478.3499999999999	485.0	[0.0, 3.01, 2.76, 2.68, 3.27, 3.14, 2.95, 2.58]	0.0021898794651541566	[0.0, 0.482990683139955, 0.371187284264965, 0.335410196624968, 0.299633108984972, 0.272800293254974, 0.277272429209974, 0.228078933704979]			[0.0, 1.08, 0.83, 0.75, 0.67, 0.61, 0.62, 0.51]	[None, 0.358803986710964, 0.300724637681159, 0.279850746268657, 0.204892966360856, 0.194267515923567, 0.210169491525424, 0.197674418604651]			
Butler1991	2068	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	[6-3H]glucose	ra	µmol/kg/min	/media/data/Butler1991_Fig8.png	2383.65	579.0	[13.04, 14.75, 6.14, 6.79, 6.67, 7.5, 6.73, 6.79]	-0.0002852455193726005	[1.77, 2.3, 2.54, 0.89, 1.0, 0.77, 1.0, 0.94]							
Butler1991	2069	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	[6-3H]glucose	ra	µmol/kg/min	/media/data/Butler1991_Fig8.png	1805.55	577.0	[9.29, 11.06, 5.59, 5.0, 3.94, 4.76, 5.76, 6.94]	-0.0012431804456777763	[1.06, 0.53, 1.12, 0.76, 0.47, 0.35, 0.65, 0.53]							
