study	n	dose_caf	tissue	caf_abstinence	time	px_caf
Perera2011	30	100	saliva	24h	0	4.9258
Perera2011	30	100	saliva	24h	1	0.1846
Perera2011	30	100	saliva	24h	2	0.3037
Perera2011	30	100	saliva	24h	4	0.4240
Perera2011	30	100	saliva	24h	6	0.6885
Perera2011	30	100	saliva	24h	8	0.8480
Perera2011	30	100	saliva	24h	10	0.9683
Perera2011	30	100	plasma	24h	0	2.7780
Perera2011	30	100	plasma	24h	1	0.2013
Perera2011	30	100	plasma	24h	2	0.2619
Perera2011	30	100	plasma	24h	4	0.4534
Perera2011	30	100	plasma	24h	6	0.6828
Perera2011	30	100	plasma	24h	8	0.8147
Perera2011	30	100	plasma	24h	10	0.9955
Perera2011	30	100	saliva	no	0	0.7730
Perera2011	30	100	saliva	no	1	0.2631
Perera2011	30	100	saliva	no	2	0.4215
Perera2011	30	100	saliva	no	4	0.6205
Perera2011	30	100	saliva	no	6	0.6882
Perera2011	30	100	saliva	no	8	0.9003
Perera2011	30	100	saliva	no	10	1.0469
Perera2011	30	100	plasma	no	0	1.0127
Perera2011	30	100	plasma	no	1	0.2988
Perera2011	30	100	plasma	no	2	0.3865
Perera2011	30	100	plasma	no	4	0.5508
Perera2011	30	100	plasma	no	6	0.7153
Perera2011	30	100	plasma	no	8	0.8797
Perera2011	30	100	plasma	no	10	1.0225

