study	clearance	period	fluvoxamine	cl_median	cl_min	cl_max
Jeppesen1996	Ν7 - demethylation of 17X	A	no	41	32	71
Jeppesen1996	8 - hydroxylation of 17X	A	no	12	7.2	22
Jeppesen1996	Renal of 17X	A	no	6.6	2.7	14
Jeppesen1996	N3 - demethylation of 37X	A	no	31	14	61
Jeppesen1996	8 - hydroxylation of 37X	A	no	0.8	0.2	35
Jeppesen1996	Renal of 37X	A	no	9.4	4.6	14
Jeppesen1996	N1 - demethylation of 13X	A	no	83	18	196
Jeppesen1996	8 - hydroxylation of 13X	A	no	19	11	22
Jeppesen1996	Renal of 13X	A	no	28	12	90
Jeppesen1996	Ν7 - demethylation of 17X	B	yes	19	12	49
Jeppesen1996	8 - hydroxylation of 17X	B	yes	8.4	7.7	15
Jeppesen1996	Renal of 17X	B	yes	5.3	2.2	7.8
Jeppesen1996	N3 - demethylation of 37X	B	yes	8.6	3.4	48
Jeppesen1996	8 - hydroxylation of 37X	B	yes	0.9	0.1	4.5
Jeppesen1996	Renal of 37X	B	yes	9.7	3.4	14
Jeppesen1996	N1 - demethylation of 13X	B	yes	57	24	184
Jeppesen1996	8 - hydroxylation of 13X	B	yes	9	5.2	34
Jeppesen1996	Renal of 13X	B	yes	23	7.8	58

