study	n	substance	dose	route	time	mid_ng	mid_ng_se	mid	mid_se	mid_sd	mid1oh_ng	mid1oh_ng_se	mid1oh	mid1oh_se	mid1oh_sd
Tanaka2014	4	midazolam	1	oral	0.0	0.0294	NA	0.0000294	NA	NA	0.0000	NA	0.00000	NA	NA
Tanaka2014	4	midazolam	1	oral	0.5	5.0606	4.0589	0.0050606	0.0040589	0.0081177	1.4429	0.3823	0.00144	0.00406	0.00812
Tanaka2014	4	midazolam	1	oral	1.0	7.9448	4.0883	0.0079448	0.0040883	0.0081766	2.2390	0.4118	0.00224	0.00409	0.00818
Tanaka2014	4	midazolam	1	oral	1.5	7.2114	4.2058	0.0072114	0.0042058	0.0084117	2.3585	0.4119	0.00236	0.00421	0.00841
Tanaka2014	4	midazolam	1	oral	2.0	7.1839	4.4411	0.0071839	0.0044411	0.0088823	2.3014	1.0000	0.00230	0.00444	0.00888
Tanaka2014	4	midazolam	1	oral	3.0	5.1287	3.4413	0.0051287	0.0034413	0.0068825	1.4816	0.8235	0.00148	0.00344	0.00688
Tanaka2014	4	midazolam	1	oral	4.0	3.5440	2.5589	0.0035440	0.0025589	0.0051179	1.1030	0.3824	0.00110	0.00256	0.00512
Tanaka2014	4	midazolam	1	oral	6.0	1.9338	1.4706	0.0019338	0.0014706	0.0029413	0.6985	NA	0.00070	0.00147	0.00294
Tanaka2014	4	midazolam	1	oral	8.0	1.6470	1.6176	0.0016470	0.0016176	0.0032353	0.4705	NA	0.00047	0.00162	0.00324

