study	dosing	substance	route	application	form	dose	dose_unit	dose_bodyweight	times	times_unit	dosing_details
Abernethy1985	D1	caffeine	oral	single dose		162	mg	no	0	h	"Each subject received 162mg caffeine base orally after an overnight fast.
Each subject ingested 325mg caffeine citrate (Lilly) with 100 mt water (equivalent to 162 mg caffeine base)."
Akinyinka2000	D1	caffeine	oral	single dose		300	mg	no	0	h	All patients and volunteers fasted overnight and, at 0800 hours, were given orally 300 mg caffeine dissolved in 150 ml water; food intake was allowed 3 h after administration of caffeine.
Amchin1999	D1	caffeine	oral	single dose		200	mg	no	0	h	Caffeine (200 mg NoDoz® caplets, Bristol- Myers Products, New York, NY) was administered in single doses of 200 mg on Days 1 and 8. Caffeine doses were administered with 180 mL of room-temperature water at approximately 8 a.m., following an over night fast.
Balogh1992	D1	caffeine	oral	single dose		225	mg	no	0	h	12 healthy male volunteers, no serious illness, no regular consumption of medication, smoking or chronic exposure to chemicals;
Balogh1995	D1	caffeine	oral	single dose		200	mg	no	0	h	The drug (200 mg caffeine as uncoated tablet, Berlin Chemie, Germany) was administered in the morning after an overnight fast, together with 200 ml herbal tea. On day 21 of the treatment cycle, caffeine was administered 30min after the intake of the oral contraceptive. All volunteers had been instructed to refrain for at least 36 h prior to and during the caffeine test from all methylxanthine-containing beverages and food.
Benowitz2003	D1	caffeine	oral	single dose		250	mg	no	0	h	subjects received 250 mg caffeine orally
Blanchard1983a	D1	caffeine	oral	single dose		5	mg/kg	yes	0	h	administred 5mg/kg dose of caffeine either as an aqueous oral solution or an intravenous infusion, on separate occasions about 1 week apart, in a randomized crossover fashion.
Blanchard1983a	D2	caffeine	iv	single dose		5	mg/kg	yes	0	h	"administred 5mg/kg dose of caffeine either as an aqueous oral solution or an intravenous infusion, on separate occasions about 1 week apart, in a randomized crossover fashion.
"
Bonati1982	D1	caffeine	oral	single dose		0.22	mg/kg	yes	0	h	After overnight fasting each was given the following preparations, containing TMX, in a random sequence, 2 wk apart: 0.22 mg/kg as soft drink (190 ml), 1.54 mg/kg as mocha coffee (50 ml), 1.00 mg/kg as aqueous solution (70 ml at 0.1%), 5.00 mg/kg as aqueous solution (70 ml at 0.5%), and 10.00 mg/kg as aqueous solution (70 ml at 1.0%).
Bonati1982	D2	caffeine	oral	single dose		1	mg/kg	yes	0	h	After overnight fasting each was given the following preparations, containing TMX, in a random sequence, 2 wk apart: 0.22 mg/kg as soft drink (190 ml), 1.54 mg/kg as mocha coffee (50 ml), 1.00 mg/kg as aqueous solution (70 ml at 0.1%), 5.00 mg/kg as aqueous solution (70 ml at 0.5%), and 10.00 mg/kg as aqueous solution (70 ml at 1.0%).
Bonati1982	D3	caffeine	oral	single dose		1.54	mg/kg	yes	0	h	After overnight fasting each was given the following preparations, containing TMX, in a random sequence, 2 wk apart: 0.22 mg/kg as soft drink (190 ml), 1.54 mg/kg as mocha coffee (50 ml), 1.00 mg/kg as aqueous solution (70 ml at 0.1%), 5.00 mg/kg as aqueous solution (70 ml at 0.5%), and 10.00 mg/kg as aqueous solution (70 ml at 1.0%).
Bonati1982	D4	caffeine	oral	single dose		5	mg/kg	yes	0	h	After overnight fasting each was given the following preparations, containing TMX, in a random sequence, 2 wk apart: 0.22 mg/kg as soft drink (190 ml), 1.54 mg/kg as mocha coffee (50 ml), 1.00 mg/kg as aqueous solution (70 ml at 0.1%), 5.00 mg/kg as aqueous solution (70 ml at 0.5%), and 10.00 mg/kg as aqueous solution (70 ml at 1.0%).
Bonati1982	D5	caffeine	oral	single dose		10	mg/kg	yes	0	h	After overnight fasting each was given the following preparations, containing TMX, in a random sequence, 2 wk apart: 0.22 mg/kg as soft drink (190 ml), 1.54 mg/kg as mocha coffee (50 ml), 1.00 mg/kg as aqueous solution (70 ml at 0.1%), 5.00 mg/kg as aqueous solution (70 ml at 0.5%), and 10.00 mg/kg as aqueous solution (70 ml at 1.0%).
Campbell1987a	D1	caffeine	oral	single dose		4	mg/kg	yes	0	h	After an overnight fast, each subject received an oral caffeine dose (4 mg/kg). Total urine volume was collected for 40 hours at the following intervals: 0, 0 to 8, 8 to 16, 16 to 24, 24 to 32, and 32 to 40 hours.
Cheng1990	D1	caffeine	oral	single dose		70	mg	yes	0	h	oral studies
Cheng1990	D2	caffeine	oral	single dose		200	mg	yes	0	h	oral studies
Cheng1990	D3	caffeine	oral	single dose		300	mg	yes	0	h	oral studies
Joeres1988	D1	caffeine	oral	single dose		366	mg	yes	0	h	Oral application of 366mg caffeine.
Renner1984	D1	caffeine	iv	single dose		125	mg	yes	0	h	Caffeine as a sterile caffeine sodium benzoate solution in water for injection use containing 125 mg of caffeine and 125 mg of sodium benzoate per 1 ml ampoule.
Culm-Merdek2005	D1	caffeine	oral	single dose		250	mg	yes	0	h	7 healthy subjects received single 250mg doses of caffeine (or matching placebo) together with fluvoxamine (4 doses of 100 mg over 2 days)
Culm-Merdek2005	D2	fluvoxamine	oral	4 doses		100	mg	yes	-26|-18|-2.5| 8	h	7 healthy subjects received single 250mg doses of caffeine (or matching placebo) together with fluvoxamine (4 doses of 100 mg over 2 days); Cotreatment with fluvoxamine, 100 mg (or placebo), was as follows: the first dose was at 08.00 h on the morning prior to the trial, the second dose at 16.00 h on the afternoon prior to the trial, the third dose at 07.30 h on the day of caffeine or placebo administration, and the fourth dose at 17.00 h on the same day. The first, third, and fourth doses of fluvoxamine (or placebo) were administered under the supervision of the study personnel. The second dose was provided to subjects to be taken on an outpatient basis. Caffeine or placebo was administered at 09.00 h, 90 min after the third dose of fluvoxamine (or placebo).
Desmond1980	D1	caffeine	oral	single dose		250	mg	no	0	h	All subjects abstained from caffeine-containing beverages and medication for at least 3 days prior to the study. After an overnight fast the subjects received 250 mg of caffeine (approximately equivalent to three cups of coffee) in a capsule with 150 ml water.
Parsons1978	D1	caffeine	oral	single dose		5	mg/kg	yes	0	h	Subjects were instructed to abstain from caffeine containing foods and beverages for 24h prior to and during the study. Caffeine (5mg/kg) was administered orally as a solution of caffeine citrate in 5 subjects (and salvia and plasma sampled). Only salvia was sampled in the other 21 subjects, who were allowed to select 180ml of coffee (n=18), tea (n=2) or cola (n=1). Salvia was sampled 8 times over a 24h period.
Fuhr1993a	D1	caffeine	oral	single dose		167	mg	no	0	h	Following an overnight period of methylxanthine abstinence the subjects received 167 mg of caffeine in the morning administered as 5.0 g of instant coffee (Nescafe Classic) in both study periods. In addition, the subjects drank 300 ml of either grapefruit juice or water 0.5 h before and every 6 h following caffeine intake until the end of the sampling period. In order to exclude any contamination that might be present in commercially processed grapefruit juice, only the freshly pressed juice from 'Outspan' fruit of South African origin was administered. The naringin content determined by h.p.l.c. (Greiner & Wallrauch, 1984) in two fruits of the batch used was 530 and 421 mg 1-1.
ZylberKatz1984	D1	caffeine	oral	single dose		350	mg	no	0	h	After abstaining from caffeine-containing beverages and chocolate for 16 h and from food for at least 4 h, subjects were requested to drink 2 cups of black coffee at 4pm. Volume drank was measured and caffeine content determined.
