study	n	substance	intervention	time	caf	caf_pm_sd	caf_sd	caf_se	px	px_pm_sd	px_sd	px_se	px_caf	px_caf_sd	px_caf_se
Healy1991	16	caffeine	placebo	0.00	0.15	0.32	0.17	0.04	0.36	0.16	0.20	0.05	2.33	0.61	0.15
Healy1991	16	caffeine	placebo	0.25	1.07	1.74	0.67	0.17	0.46	0.26	0.21	0.05	0.43	0.30	0.08
Healy1991	16	caffeine	placebo	0.50	3.16	4.51	1.35	0.34	0.64	0.37	0.26	0.07	0.20	0.28	0.07
Healy1991	16	caffeine	placebo	0.75	4.13	4.60	0.47	0.12	0.81	0.49	0.32	0.08	0.20	0.11	0.03
Healy1991	16	caffeine	placebo	1.00	3.95	4.29	0.34	0.09	0.85	1.02	0.17	0.04	0.22	0.08	0.02
Healy1991	16	caffeine	placebo	1.50	3.54	3.91	0.37	0.09	0.97	1.14	0.17	0.04	0.27	0.11	0.03
Healy1991	16	caffeine	placebo	2.00	3.37	3.76	0.38	0.10	1.09	1.29	0.20	0.05	0.32	0.14	0.03
Healy1991	16	caffeine	placebo	2.50	3.07	3.53	0.46	0.11	1.09	1.27	0.18	0.05	0.35	0.18	0.04
Healy1991	16	caffeine	placebo	3.00	2.88	3.30	0.42	0.10	1.18	1.35	0.17	0.04	0.41	0.18	0.05
Healy1991	16	caffeine	placebo	4.00	2.67	3.11	0.44	0.11	1.26	1.46	0.19	0.05	0.47	0.23	0.06
Healy1991	16	caffeine	placebo	6.00	2.01	2.45	0.44	0.11	1.29	1.51	0.22	0.06	0.64	0.32	0.08
Healy1991	16	caffeine	placebo	8.00	1.47	1.80	0.33	0.08	1.24	1.50	0.26	0.06	0.84	0.36	0.09
Healy1991	16	caffeine	placebo	12.00	0.88	1.23	0.34	0.09	0.99	1.22	0.23	0.06	1.12	0.46	0.12
Healy1991	16	caffeine	placebo	16.00	0.51	0.76	0.25	0.06	0.74	1.03	0.29	0.07	1.46	0.56	0.14
Healy1991	16	caffeine	placebo	24.00	0.18	0.27	0.09	0.02	0.37	0.54	0.17	0.04	2.07	0.39	0.10
Healy1991	16	caffeine	placebo	32.00	0.07	0.16	0.09	0.02	0.19	0.33	0.15	0.04	2.81	0.49	0.12
Healy1991	16	caffeine	placebo	48.00	0.00	0.06	0.06	0.01	0.07	0.22	0.15	0.04	NA	NA	NA
Healy1991	16	caffeine	lomefloxacin	0.00	0.15	0.34	0.19	0.05	0.38	0.25	0.13	0.03	2.56	0.59	0.15
Healy1991	16	caffeine	lomefloxacin	0.25	0.82	0.49	0.33	0.08	0.45	0.25	0.19	0.05	0.55	0.21	0.05
Healy1991	16	caffeine	lomefloxacin	0.50	2.60	1.46	1.15	0.29	0.59	0.37	0.22	0.05	0.23	0.26	0.07
Healy1991	16	caffeine	lomefloxacin	0.75	3.48	2.72	0.76	0.19	0.73	0.50	0.24	0.06	0.21	0.17	0.04
Healy1991	16	caffeine	lomefloxacin	1.00	3.81	3.29	0.52	0.13	0.83	0.59	0.25	0.06	0.22	0.13	0.03
Healy1991	16	caffeine	lomefloxacin	1.50	3.68	3.37	0.30	0.08	0.93	0.74	0.19	0.05	0.25	0.09	0.02
Healy1991	16	caffeine	lomefloxacin	2.00	3.38	3.05	0.33	0.08	1.04	0.85	0.19	0.05	0.31	0.12	0.03
Healy1991	16	caffeine	lomefloxacin	2.50	3.09	2.67	0.43	0.11	1.10	0.91	0.19	0.05	0.35	0.16	0.04
Healy1991	16	caffeine	lomefloxacin	3.00	2.88	2.51	0.37	0.09	1.14	0.94	0.20	0.05	0.40	0.17	0.04
Healy1991	16	caffeine	lomefloxacin	4.00	2.54	2.04	0.50	0.13	1.25	0.97	0.28	0.07	0.49	0.28	0.07
Healy1991	16	caffeine	lomefloxacin	6.00	2.01	1.68	0.32	0.08	1.31	1.07	0.24	0.06	0.65	0.26	0.07
Healy1991	16	caffeine	lomefloxacin	8.00	1.47	1.10	0.37	0.09	1.21	0.98	0.23	0.06	0.82	0.36	0.09
Healy1991	16	caffeine	lomefloxacin	12.00	0.82	0.53	0.29	0.07	0.98	0.76	0.23	0.06	1.19	0.44	0.11
Healy1991	16	caffeine	lomefloxacin	16.00	0.47	0.22	0.25	0.06	0.70	0.49	0.21	0.05	1.50	0.49	0.12
Healy1991	16	caffeine	lomefloxacin	24.00	0.17	0.03	0.14	0.04	0.35	0.18	0.17	0.04	1.99	0.43	0.11
Healy1991	16	caffeine	lomefloxacin	32.00	0.06	0.17	0.11	0.03	0.19	0.01	0.18	0.04	3.08	0.64	0.16
Healy1991	16	caffeine	lomefloxacin	48.00	0.00	0.05	0.05	0.01	0.07	0.22	0.15	0.04	NA	NA	NA

