study	enzyme	formula	value	frequency
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.6750	3
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.7250	9
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.7750	9
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.8250	8
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.8750	8
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.9250	2
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	0.9750	3
Begas2007	CYP1A2	SQRT[Log((AFMU+1U+1X)/17U))]	1.0250	2
Begas2007	CYP2A6	Log(17U/17X)	-0.3000	3
Begas2007	CYP2A6	Log(17U/17X)	-0.1000	14
Begas2007	CYP2A6	Log(17U/17X)	0.1000	10
Begas2007	CYP2A6	Log(17U/17X)	0.3000	10
Begas2007	CYP2A6	Log(17U/17X)	0.5000	5
Begas2007	CYP2A6	Log(17U/17X)	0.7000	2
Begas2007	XO	IU/(1U+1X)	0.4363	2
Begas2007	XO	IU/(1U+1X)	0.4617	8
Begas2007	XO	IU/(1U+1X)	0.4961	8
Begas2007	XO	IU/(1U+1X)	0.5268	10
Begas2007	XO	IU/(1U+1X)	0.5571	9
Begas2007	XO	IU/(1U+1X)	0.5839	4
Begas2007	XO	IU/(1U+1X)	0.6150	3
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.0250	1
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.0750	12
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.1250	12
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.1750	2
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.2250	1
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.2750	1
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.3250	6
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.3750	7
Begas2007	NAT-2	AFMU/(AFMU+1U+1X)	0.4250	2

