study	enzyme 	abundance	abundance_cv	abundance_min	abundance_max	N_livers	Q	Isquare	heterogeneity
Archour2014a	UGT1A1	41	60	4	138	154	1.73	0	none
Archour2014a	UGT1A3	31.4	75	2	488	124	2.01	0	none
Archour2014a	UGT1A4	55.4	37	4	106	107	18.13	83	high
Archour2014a	UGT1A6	40	51	1	285	134	8.64	42	medium
Archour2014a	UGT1A9	32	39	9	123	125	3.03	0	none
Archour2014a	UGT2B4	57	37	18	136	99	2.27	12	low
Archour2014a	UGT2B7	87	36	5	178	132	24.43	84	high
Archour2014a	UGT2B10	20	44	1	15	76	10.17	90	high
Archour2014a	UGT2B15	52	39	13	130	116	3.75	20	low
Archour2014a	UGT2B17	18	126	0	50	76	1.39	28	low

