	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
210	Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	clearance		118.0	33.0			90.0	176.0	ml/min	
211	Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.61	0.43					ml/min/kg	
212	Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	vd		43.0	6.0			33.0	50.0	l	
213	Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	vd		0.58	0.08					l/kg	
214	Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	thalf		257.0	48.0			195.0	334.0	min	
215	Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	clearance		77.0	22.0			58.0	107.0	ml/min	
216	Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	clearance	yes	1.05	0.28					ml/min/kg	
217	Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	vd		35.0	6.0			30.0	43.0	l	
218	Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	vd	yes	0.46	0.08					l/kg	
219	Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	thalf		356.0	131.0			199.0	516.0	min	
220	Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	clearance		104.0	40.0			65.0	176.0	ml/min	
221	Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	clearance	yes	1.43	0.54					ml/min/kg	
222	Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	vd		37.0	11.0			22.0	50.0	l	
223	Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	vd	yes	0.51	0.13					l/kg	
224	Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	thalf		286.0	76.0			198.0	402.0	min	
225	Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	clearance		64.0	20.0			28.0	102.0	ml/min	
226	Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	clearance	yes	0.96	0.35					ml/min/kg	
227	Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	vd		29.0	8.0			17.0	46.0	l	
228	Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	vd	yes	0.41	0.07					l/kg	
229	Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	thalf		336.0	134.0			159.0	662.0	min	
230	Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	clearance		63.0	63.0			1.0	230.0	ml/min	
231	Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	clearance	yes	0.9	0.85					ml/min/kg	
232	Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	vd		37.0	15.0			16.0	62.0	l	
233	Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	vd	yes	0.53	0.22					l/kg	
234	Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	thalf		899.0	683.0			161.0	2390.0	min	
235	Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	cmax		2.1	4.5			0.1	18.4	µg/ml	
236	Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	clearance		34.0	49.0			1.0	270.0	ml/min	
237	Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	clearance	yes	0.47	0.67					ml/min/kg	
238	Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	vd		40.0	20.0			19.0	73.0	l	
239	Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	vd	yes	0.55	0.26					l/kg	
240	Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	thalf		1415.0	1328.0			148.0	5542.0	min	
241	Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	cmax		5.1	6.1			0.1	23.0	µg/ml	
