	name	substances	creator	curators	groups_count	group_all_count	groups	individuals_count	individuals	interventions_count	outputs_count	timecourses_count	results_count
59	Test243	caffeine paraxanthine	Matthias König	Matthias König	1	102.0	[{'count': 102, 'subject_name': 'all'}]	102	['IKP243-1001', 'IKP243-1002', 'IKP243-1003', 'IKP243-1004', 'IKP243-1005', 'IKP243-1006', 'IKP243-1007', 'IKP243-1008', 'IKP243-1010', 'IKP243-1011', 'IKP243-1012', 'IKP243-1013', 'IKP243-1014', 'IKP243-1015', 'IKP243-1016', 'IKP243-1019', 'IKP243-1020', 'IKP243-1021', 'IKP243-1022', 'IKP243-1023', 'IKP243-1026', 'IKP243-1027', 'IKP243-1028', 'IKP243-1029', 'IKP243-1032', 'IKP243-1035', 'IKP243-1036', 'IKP243-1037', 'IKP243-1038', 'IKP243-1039', 'IKP243-1041', 'IKP243-1043', 'IKP243-1044', 'IKP243-1045', 'IKP243-1046', 'IKP243-1048', 'IKP243-1049', 'IKP243-1051', 'IKP243-1052', 'IKP243-1053', 'IKP243-1055', 'IKP243-1056', 'IKP243-1057', 'IKP243-1058', 'IKP243-2001', 'IKP243-2002', 'IKP243-2003', 'IKP243-2004', 'IKP243-2005', 'IKP243-2006', 'IKP243-2008', 'IKP243-2009', 'IKP243-2011', 'IKP243-2012', 'IKP243-2013', 'IKP243-2014', 'IKP243-2015', 'IKP243-2016', 'IKP243-2017', 'IKP243-2018', 'IKP243-2020', 'IKP243-2021', 'IKP243-2022', 'IKP243-2023', 'IKP243-2024', 'IKP243-2025', 'IKP243-2026', 'IKP243-2027', 'IKP243-2028', 'IKP243-2029', 'IKP243-2030', 'IKP243-2031', 'IKP243-2032', 'IKP243-2033', 'IKP243-2037', 'IKP243-2038', 'IKP243-2039', 'IKP243-2040', 'IKP243-2041', 'IKP243-2042', 'IKP243-2045', 'IKP243-2046', 'IKP243-2048', 'IKP243-2050', 'IKP243-2051', 'IKP243-2054', 'IKP243-2055', 'IKP243-2057', 'IKP243-2058', 'IKP243-2060', 'IKP243-2061', 'IKP243-2062', 'IKP243-2063', 'IKP243-2064', 'IKP243-2065', 'IKP243-2066', 'IKP243-2068', 'IKP243-2072', 'IKP243-2073', 'IKP243-2074', 'IKP243-2075', 'IKP243-2079']	1	510	0	510
47	Stille1987		Matthias König	Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	12	['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'K', 'L', 'M', 'N']	13	432	0	432
98	Yue1991B	debrisoquine codeine	Jan Grzegorzewski	Jan Grzegorzewski	5	20.0	[{'count': 20, 'subject_name': 'all'}, {'count': 8, 'subject_name': 'EM_SingleDose'}, {'count': 6, 'subject_name': 'PM_SingleDose'}, {'count': 3, 'subject_name': 'EM_MultiDose'}, {'count': 3, 'subject_name': 'PM_MultiDose'}]	14	['1_EM', '2_EM', '3_EM', '4_EM', '5_EM', '6_EM', '7_EM', '8_EM', '9_PM', '10_PM', '11_PM', '12_PM', '13_PM', '14_PM']	11	326	11	337
33	Chen1991	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	3	8.0	[{'count': 8, 'subject_name': 'all'}, {'count': 2, 'subject_name': 'PM'}, {'count': 6, 'subject_name': 'EM'}]	8	['1', '2', '3', '4', '5', '6', '7', '8']	8	320	4	324
99	Vree1992	codeine	Jan Grzegorzewski	Jan Grzegorzewski	1	8.0	[{'count': 8, 'subject_name': 'all'}]	8	['1', '2', '3', '4', '5', '6', '7', '8']	1	266	14	280
43	Beach1986		Matthias König	Matthias König	3	21.0	[{'count': 21, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'control'}, {'count': 11, 'subject_name': 'recovering alcoholics'}]	21	['K', 'J', 'I', 'H', 'G', 'F', 'E', 'D', 'C', 'B', 'A', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1']	3	235	4	239
17	Balogh1992	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	12	['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'K', 'L', 'M']	1	147	72	219
55	Carbo1989	pipemidic acid norfloxacin caffeine quinolone	Matthias König	Jan Grzegorzewski,Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	6	['1', '2', '3', '4', '5', '6']	3	204	3	207
14	Harder1988	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1		[{'count': 12, 'subject_name': 'S1'}]	0		37	160	0	160
82	Polonsky1986	c-peptide	Matthias König	Matthias König,Kathleen Green	3	17.0	[{'count': 17, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'control'}, {'count': 7, 'subject_name': 't2dm'}]	17	['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'T1', 'T2', 'T3', 'T4', 'T5', 'T6', 'T7']	4	153	5	158
10	Balogh1995	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	7	20.0	[{'count': 20, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'A'}, {'count': 10, 'subject_name': 'A_oc'}, {'count': 10, 'subject_name': 'A_no_oc'}, {'count': 10, 'subject_name': 'B'}, {'count': 10, 'subject_name': 'B_oc'}, {'count': 10, 'subject_name': 'B_no_oc'}]	40	['4', '5', '9', '10', '11', '12', '16', '17', '19', '20', '1', '2', '3', '6', '7', '8', '13', '14', '15', '18', '4_oc', '5_oc', '9_oc', '10_oc', '11_oc', '12_oc', '16_oc', '17_oc', '19_oc', '20_oc', '1_oc', '2_oc', '3_oc', '6_oc', '7_oc', '8_oc', '13_oc', '14_oc', '15_oc', '18_oc']	4	150	0	150
66	May1982	cimetidine caffeine	Matthias König	Matthias König	3	12.0	[{'count': 12, 'subject_name': 'all'}, {'count': 6, 'subject_name': 'smokers'}, {'count': 6, 'subject_name': 'nonsmokers'}]	12	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']	2	140	2	142
53	Backman2008	caffeine tizanidine	Matthias König	Jan Grzegorzewski,Matthias König	5	71.0	[{'count': 71, 'subject_name': 'all'}, {'count': 53, 'subject_name': 'men'}, {'count': 11, 'subject_name': 'female nonsmokers'}, {'count': 38, 'subject_name': 'male nonsmokers'}, {'count': 15, 'subject_name': 'male smokers'}]	70	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70']	1	140	0	140
6	Akinyinka2000	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	4	28.0	[{'count': 28, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'control'}, {'count': 10, 'subject_name': 'malaria'}, {'count': 8, 'subject_name': 'healthy subjects'}]	20	['1C', '2C', '3C', '4C', '5C', '6C', '7C', '8C', '9C', '10C', '1M', '2M', '3M', '4M', '5M', '6M', '7M', '8M', '9M', '10M']	1	132	6	138
24	Loetsch2006	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	11.0	[{'count': 11, 'subject_name': 'all'}]	11	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']	2	0	132	132
12	Renner1984	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	5	36.0	[{'count': 36, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'control'}, {'count': 8, 'subject_name': 'cirrhosis'}, {'count': 7, 'subject_name': 'pbc'}, {'count': 11, 'subject_name': 'misc liver disease'}]	36	['ER1', 'MT', 'UM', 'HP', 'EC', 'PH', 'FW', 'HS', 'CB', 'BD', 'RS', 'PA1', 'RB', 'CW', 'HG', 'JS', 'PR', 'AC', 'ZZ', 'GR', 'HM', 'HL', 'BL', 'EG', 'ER2', 'KK', 'PA2', 'HLU', 'IL', 'PB', 'AM', 'ES', 'AL', 'RF', 'FR', 'HI']	1	120	0	120
56	Barnet1990	pipemidic acid norfloxacin caffeine quinolone	Matthias König	Jan Grzegorzewski,Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	6	['1', '2', '3', '4', '5', '6']	3	120	0	120
3	Parsons1978	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	3	26.0	[{'count': 26, 'subject_name': 'all'}, {'count': 13, 'subject_name': 'nonsmokers'}, {'count': 13, 'subject_name': 'smokers'}]	26	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26']	1	112	0	112
