study	pk	interventions	tissue	time_unit	time	substance_name	unit	pktype	figure	auc_end	group_pk	mean	kel	se	cv	individual_pk	value	sd	median	max	min
Balogh1992	432	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		12.56			0.3655630955332029			567.0	['2.98e+00', '1.60e-01']				
Balogh1992	431	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		13.8			0.29855579795005477			566.0	['3.16e+00', '2.90e-01']				
Balogh1992	430	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.24			0.26864685996181387			565.0	['3.86e+00', '4.50e-01']				
Balogh1992	429	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		15.879999999999999			0.2181885564471624			564.0	['3.38e+00', '5.90e-01']				
Balogh1992	428	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.92			0.21914307913753445			563.0	['2.54e+00', '4.40e-01']				
Balogh1992	427	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		10.4			0.35828427578963806			562.0	['2.46e+00', '1.40e-01']				
Balogh1992	426	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		6.92			0.504648268547769			561.0	['1.70e+00', '3.00e-02']				
Balogh1992	425	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		10.04			0.36341516452624223			560.0	['2.38e+00', '1.30e-01']				
Balogh1992	424	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		15.0			0.18618482466939018			559.0	['3.06e+00', '6.90e-01']				
Balogh1992	423	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.88			0.24549108181974894			558.0	['3.92e+00', '5.50e-01']				
Balogh1992	422	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		20.32			0.2231108237425366			557.0	['4.35e+00', '7.30e-01']				
Balogh1992	421	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		12.72			0.40483480652054754			556.0	['3.06e+00', '1.20e-01']				
Balogh1992	420	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		12.44			0.22538237806024855			567.0	['2.67e+00', '4.40e-01']				
Balogh1992	419	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.08			0.18800967459703427			566.0	['2.88e+00', '6.40e-01']				
Balogh1992	418	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.079999999999998			0.2277390634248428			565.0	['3.03e+00', '4.90e-01']				
Balogh1992	417	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		13.8			0.13206763434342783			564.0	['2.56e+00', '8.90e-01']				
Balogh1992	416	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.0			0.19694204509480237			563.0	['2.90e+00', '6.00e-01']				
Balogh1992	415	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.959999999999999			0.3106133312235			562.0	['2.76e+00', '2.30e-01']				
Balogh1992	414	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		8.36			0.4920894522523147			561.0	['2.05e+00', '4.00e-02']				
Balogh1992	413	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		10.24			0.31545264524608635			560.0	['2.37e+00', '1.90e-01']				
Balogh1992	412	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.44			0.19047801996388858			559.0	['3.58e+00', '7.80e-01']				
Balogh1992	411	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		15.76			0.19371483471655976			558.0	['3.25e+00', '6.90e-01']				
Balogh1992	410	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		21.439999999999998			0.14235233864326877			557.0	['4.06e+00', '1.30e+00']				
Balogh1992	409	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.4			0.34472170455683004			556.0	['2.68e+00', '1.70e-01']				
Balogh1992	408	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.88			0.156595371061921			567.0	['2.31e+00', '6.60e-01']				
Balogh1992	407	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		13.76			0.16834898976795554			566.0	['2.73e+00', '7.10e-01']				
Balogh1992	406	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.4			0.20637336441837162			565.0	['3.44e+00', '6.60e-01']				
Balogh1992	405	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.12			0.16540452814409418			564.0	['3.38e+00', '9.00e-01']				
Balogh1992	404	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.8			0.22396993365350687			563.0	['3.60e+00', '6.00e-01']				
Balogh1992	403	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		13.559999999999999			0.26627673338165736			562.0	['3.03e+00', '3.60e-01']				
Balogh1992	402	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		8.56			0.37694186260627127			561.0	['2.04e+00', '1.00e-01']				
Balogh1992	401	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.280000000000001			0.19490226943188427			560.0	['2.33e+00', '4.90e-01']				
Balogh1992	400	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.88			0.16140735860752659			559.0	['3.31e+00', '9.10e-01']				
Balogh1992	399	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.64			0.19221175094690734			558.0	['3.63e+00', '7.80e-01']				
Balogh1992	398	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		22.279999999999998			0.1376259374242581			557.0	['4.18e+00', '1.39e+00']				
Balogh1992	397	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.16			0.3418913949631101			556.0	['2.62e+00', '1.70e-01']				
Balogh1992	396	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.92			0.19593421416688356			567.0	['3.50e+00', '7.30e-01']				
Balogh1992	395	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.28			0.13967182064045408			566.0	['2.69e+00', '8.80e-01']				
Balogh1992	394	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		18.72			0.2236586009894504			565.0	['4.01e+00', '6.70e-01']				
Balogh1992	393	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.84			0.15243462385773765			564.0	['3.25e+00', '9.60e-01']				
Balogh1992	392	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.32			0.21021982175171583			563.0	['3.44e+00', '6.40e-01']				
Balogh1992	391	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.92			0.26490787948331346			562.0	['3.33e+00', '4.00e-01']				
Balogh1992	390	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		9.56			0.36750542096167527			561.0	['2.27e+00', '1.20e-01']				
Balogh1992	389	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		12.120000000000001			0.21828713689391221			560.0	['2.58e+00', '4.50e-01']				
Balogh1992	388	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		19.52			0.17586420604032826			559.0	['3.92e+00', '9.60e-01']				
Balogh1992	387	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.84			0.14976773550189287			558.0	['2.85e+00', '8.60e-01']				
Balogh1992	386	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		26.32			0.13987244893656792			557.0	['4.96e+00', '1.62e+00']				
Balogh1992	385	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		12.48			0.3491510011803146			556.0	['2.94e+00', '1.80e-01']				
Balogh1992	384	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		18.16			0.1966100395875378			567.0	['3.76e+00', '7.80e-01']				
Balogh1992	383	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		15.8			0.13859558251651596			566.0	['2.97e+00', '9.80e-01']				
Balogh1992	382	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.04			0.19089997677464104			565.0	['3.50e+00', '7.60e-01']				
Balogh1992	381	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.8			0.1515947042352086			564.0	['3.43e+00', '1.02e+00']				
Balogh1992	380	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		16.84			0.25926352446305917			563.0	['3.74e+00', '4.70e-01']				
Balogh1992	379	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		13.959999999999999			0.23563642612753424			562.0	['3.03e+00', '4.60e-01']				
Balogh1992	378	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		10.6			0.3705599662562358			561.0	['2.52e+00', '1.30e-01']				
Balogh1992	377	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		14.8			0.3870885238617492			560.0	['3.54e+00', '1.60e-01']				
Balogh1992	376	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		21.64			0.16928187592190924			559.0	['4.30e+00', '1.11e+00']				
Balogh1992	375	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		17.76			0.17118590535043865			558.0	['3.54e+00', '9.00e-01']				
Balogh1992	374	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		27.64			0.1313673523998441			557.0	['5.12e+00', '1.79e+00']				
Balogh1992	373	218	plasma	h	['2.00e+00', '1.00e+01']	caffeine	µg/ml	concentration		11.120000000000001			0.30676687389015583			556.0	['2.56e+00', '2.20e-01']				
