	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
132	Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	clearance		164.0	62.0					ml/min	
133	Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	2.0	0.8					ml/min/kg	
134	Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	thalf		205.0	94.0					min	
135	Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	tmax		90.0	35.0					min	
136	Benowitz2003	smoking	S1	D1	caffeine	Tab1	E1	plasma	cmax		4.0	0.8					µg/ml	
137	Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	clearance		115.0	41.0					ml/min	
138	Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	clearance	yes	1.4	0.6					ml/min/kg	
139	Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	thalf		289.0	130.0					min	
140	Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	tmax		79.0	34.0					min	
141	Benowitz2003	carbon monoxide	S1	D1	caffeine	Tab1	E2	plasma	cmax		4.3	0.9					µg/ml	
142	Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	clearance		125.0	52.0					ml/min	
143	Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	clearance	yes	1.5	0.7					ml/min/kg	
144	Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	thalf		276.0	132.0					min	
145	Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	tmax		98.0	30.0					min	
146	Benowitz2003	air	S1	D1	caffeine	Tab1	E3	plasma	cmax		4.1	0.8					µg/ml	
147	Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	clearance		488.0	144.0					ml/min	
148	Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	clearance	yes	5.9	1.5					ml/min/kg	
149	Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	thalf		66.0	9.9					min	
150	Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	tmax		84.0	42.0					min	
151	Benowitz2003	smoking	S1	D1	chlorozoxazone	Tab2	E1	plasma	cmax		4.0	2.2					µg/ml	
152	Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	clearance		414.0	131.0					ml/min	
153	Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	clearance	yes	5.0	1.4					ml/min/kg	
154	Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	thalf		62.6	9.9					min	
155	Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	tmax		84.0	52.0					min	
156	Benowitz2003	carbon monoxide	S1	D1	chlorozoxazone	Tab2	E2	plasma	cmax		4.8	2.0					µg/ml	
157	Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	clearance		396.0	115.0					ml/min	
158	Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	clearance	yes	4.8	1.0					ml/min/kg	
159	Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	thalf		62.2	9.0					min	
160	Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	tmax		69.0	20.0					min	
161	Benowitz2003	air	S1	D1	chlorozoxazone	Tab2	E3	plasma	cmax		4.9	1.2					µg/ml	
