study	group	intervention	gender	dose	substance	time	caf	caf_pm_sd	caf_sd	px	px_pm_sd	px_sd	px_caf	px_caf_sd
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	0	0	0	0	0	0	0	nan	nan
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	30	6.73	7.37	0.64	0.41	0.53	0.11	0.06	0.02
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	40	7.1	7.48	0.38	0.49	0.56	0.06	0.07	0.01
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	60	7.26	7.61	0.35	0.54	0.69	0.14	0.07	0.02
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	75	7.48	7.88	0.4	0.78	0.89	0.11	0.1	0.02
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	90	6.91	7.38	0.48	0.96	1.07	0.11	0.14	0.02
Benowitz1995	4mg	Dcaf_4mg	both	4	caffeine	120	6.65	7.03	0.38	1	1.29	0.29	0.15	0.04
Benowitz1995	2mg	Dcaf_2mg	both	4	caffeine	180	5.82	6.44	0.62	1.29	1.64	0.35	0.22	0.06
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	0	0	0	0	0	0	0	nan	nan
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	30	3.01	4.1	1.08	0.3	0.27	0.03	0.1	0.04
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	40	2.76	3.59	0.83	0.49	0.48	0.02	0.18	0.05
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	60	2.68	3.43	0.75	0.56	0.43	0.13	0.21	0.08
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	75	3.27	3.94	0.67	0.7	0.51	0.19	0.21	0.07
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	90	3.14	3.75	0.61	0.81	0.61	0.21	0.26	0.08
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	120	2.95	3.57	0.62	0.99	0.7	0.29	0.34	0.12
Benowitz1995	2mg	Dcaf_2mg	both	2	caffeine	180	2.58	3.09	0.51	1.29	0.86	0.43	0.5	0.19
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	0	nan	nan	nan	0	0	0	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	30	nan	nan	nan	3.96	5.33	1.38	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	40	nan	nan	nan	4.2	5.37	1.17	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	60	nan	nan	nan	4.68	5.64	0.96	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	75	nan	nan	nan	5.15	5.82	0.67	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	90	nan	nan	nan	5.22	5.78	0.56	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	120	nan	nan	nan	5.56	5.77	0.21	nan	nan
Benowitz1995	4mg	Dpx_4mg	both	4	paraxanthine	180	nan	nan	nan	5.15	5.74	0.59	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	0	nan	nan	nan	0	0	0	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	30	nan	nan	nan	1.27	1.75	0.48	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	40	nan	nan	nan	1.78	2.33	0.54	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	60	nan	nan	nan	1.71	2.07	0.37	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	75	nan	nan	nan	1.84	2.25	0.42	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	90	nan	nan	nan	1.94	2.27	0.34	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	120	nan	nan	nan	2.74	3.09	0.35	nan	nan
Benowitz1995	2mg	Dpx_2mg	both	2	paraxanthine	180	nan	nan	nan	2.83	3.17	0.34	nan	nan
