study	subjects	species	strain	ethnicity	n	sex	healthy	health_status	liver_status	fasting	abstinence	abstinence	abstinence_time	Sedentary	alcohol	alcohol amount	paracetamol	smoking	smoking_amount	oc	age	age_sd	age_se	age_min	age_max	age_unit	weight	weight_sd	weight_se	weight_min	weight_max	weight_unit	height	height_sd	height_se	height_min	height_max	height_unit
Chiew2010	S1	homo sapiens			9	M {{8}} || F {{1}}	Y	healthy	healthy	overnight fast	food						no (7 days prior to study)				34	NA	NA	27	46	yr	73.11			62	84	kg						
Chan1997	S1	homo sapiens		chinese	6	subgroup of 38 (20 M  || 18 F)	N	T2DM, normal renal function	unknown	overnight fast	food						no (2 weeks prior to study)				58	NA	NA	34	75	yr												
Chan1997	S2	homo sapiens		chinese	8	subgroup of 38 (20 M  || 18 F)	N	T2DM, mild renal failure	unknown	overnight fast	food						no (2 weeks prior to study)				58	NA	NA	34	75	yr												
Chan1997	S3	homo sapiens		chinese	11	subgroup of 38 (20 M  || 18 F)	N	T2DM, moderate renal failure	unknown	overnight fast	food						no (2 weeks prior to study)				58	NA	NA	34	75	yr												
Chan1997	S4	homo sapiens		chinese	13	subgroup of 38 (20 M  || 18 F)	N	T2DM, severe renal failure	unknown	overnight fast	food						no (2 weeks prior to study)				58	NA	NA	34	75	yr												
Critchley2005	S_CAU	homo sapiens		caucasian	9	M {{6}}  || F {{3}}	Y	healthy	healthy	overnight fast	food			2h post			no (2 weeks prior to study)				29	NA	NA	23	44	yr	68			55	97	kg	175			166	187	cm
Critchley2005	S_CHI	homo sapiens		chinese	11	M {{5}}  || F {{6}}	Y	healthy	healthy	overnight fast	food			2h post			no (2 weeks prior to study)				24	NA	NA	21	32	yr	57			46	71	kg	163			154	178	cm
Rawlins1977	S1	homo sapiens			6	M	Y	healthy	healthy								no (4 weeks prior to study)			no																		
Albert1974	S1	homo sapiens			10	M	Y	healthy	healthy											no	26					yr	68					kg						
Ameer1981	S1	homo sapiens			1	M																																
Baraka1990	S1	homo sapiens			10	M {{6}}  || F {{4}}	Y	healthy	healthy	overnight fast	food			subjects continued to fast for 2h	moderate alcohol consumption		did not take any drugs	no	0	no				21	32	yr	68			51.0	85.0							
Jensen2004	S1	homo sapiens			6			healthy	healthy																													
