study	n	substance	time	apap_mol_glu	apap_mol_glu_se	apap_mol_glu_sd	apap_glu	apap_glu_se	apap_glu_sd
Chiew2010	9	paracetamol	0.0	4.4692	NA	NA	1.4627	NA	NA
Chiew2010	9	paracetamol	0.5	35.7133	8.9419	26.83	11.6886	2.9266	8.7798
Chiew2010	9	paracetamol	0.8	77.0311	13.4038	40.21	25.2115	4.3869	13.1608
Chiew2010	9	paracetamol	1.0	111.6416	21.2285	63.69	36.5392	6.9479	20.8436
Chiew2010	9	paracetamol	1.5	183.0972	34.6360	103.91	59.9259	11.3360	34.0080
Chiew2010	9	paracetamol	2.0	243.3762	36.8814	110.64	79.6546	12.0709	36.2127
Chiew2010	9	paracetamol	3.0	314.7991	22.3494	67.05	103.0306	7.3147	21.9442
Chiew2010	9	paracetamol	4.0	329.2293	20.1075	60.32	107.7535	6.5810	19.7430
Chiew2010	9	paracetamol	6.0	283.2316	16.7593	50.28	92.6989	5.4852	16.4555
Chiew2010	9	paracetamol	8.0	198.1360	14.5248	43.57	64.8479	4.7538	14.2614
Chiew2010	9	paracetamol	10.0	138.7345	8.9310	26.79	45.4064	2.9230	8.7691
Chiew2010	9	paracetamol	12.0	90.5094	7.8101	23.43	29.6228	2.5562	7.6685
Chiew2010	6	paracetamol	16.0	44.3264	5.5755	13.66	14.5076	1.8248	4.4699
Chiew2010	6	paracetamol	24.0	11.1801	NA	NA	3.6592	NA	NA
Chiew2010	9	PEx	0.0	4.4728	NA	NA	1.4639	NA	NA
Chiew2010	9	PEx	0.5	30.1232	7.8247	23.47	9.8590	2.5609	7.6828
Chiew2010	9	PEx	0.8	55.7954	8.9419	26.83	18.2613	2.9266	8.7798
Chiew2010	9	PEx	1.0	84.8231	14.5284	43.59	27.7617	4.7550	14.2650
Chiew2010	9	PEx	1.5	131.7056	16.7593	50.28	43.1059	5.4852	16.4555
Chiew2010	9	PEx	2.0	172.9943	22.3421	67.03	56.6193	7.3124	21.9371
Chiew2010	9	PEx	3.0	224.2987	20.1148	60.34	73.4107	6.5834	19.7501
Chiew2010	9	PEx	4.0	255.4847	22.3421	67.03	83.6176	7.3124	21.9371
Chiew2010	9	PEx	6.0	237.4301	19.0048	57.01	77.7085	6.2201	18.6602
Chiew2010	9	PEx	8.0	188.0696	11.16562	33.50	61.5533	3.6544	10.9632
Chiew2010	9	PEx	10.1	152.1383	6.70009	20.10	49.7933	2.1929	6.5786
Chiew2010	9	PEx	12.0	113.9652	7.821025	23.46	37.2997	2.5597	7.6792
Chiew2010	6	PEx	16.0	54.3710	2.22731	5.46	17.7951	0.7290	1.7856
Chiew2010	6	PEx	24.0	16.7630	NA	NA	5.4863	NA	NA

