	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median	category	route	unit_intervention	substance_name_intervention	value_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	study	subject_pk	subject_name	('general', 'group_count')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('phenotype', 'choice')	('phenotype', 'count')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'cv')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('HbA1c', 'count')	('HbA1c', 'cv')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'cv')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'unit')	('obesity index', 'count')	('obesity index', 'cv')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('triglyceride', 'count')	('triglyceride', 'cv')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('LDL-H', 'count')	('LDL-H', 'cv')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('LDL-C', 'count')	('LDL-C', 'cv')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('cholesterol', 'count')	('cholesterol', 'cv')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('body surface area', 'count')	('body surface area', 'cv')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('obese', 'choice')	('obese', 'count')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('genetics', 'choice')	('genetics', 'count')	('caffeine', 'choice')	('caffeine', 'count')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('medication type', 'choice')	('medication type', 'count')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('fat weight', 'count')	('fat weight', 'cv')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
0	plasma	caffeine	cmax	µg/ml	208			90.0	3.99	0.27	0.203										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	90	OCS	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.102		59.0				2.0	kg	N	18	caffeine	18		4.80e+01	h					('african', 'caucasian')	(1, 8)	Y	9																																																																																																																																																																																			
1	plasma	caffeine	tmax	h	208			90.0	1.52	0.26	0.513										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	90	OCS	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.102		59.0				2.0	kg	N	18	caffeine	18		4.80e+01	h					('african', 'caucasian')	(1, 8)	Y	9																																																																																																																																																																																			
2	plasma	caffeine	thalf	h	208			90.0	7.88	0.49	0.187										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	90	OCS	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.102		59.0				2.0	kg	N	18	caffeine	18		4.80e+01	h					('african', 'caucasian')	(1, 8)	Y	9																																																																																																																																																																																			
3	plasma	caffeine	vd	l/kg	208			90.0	0.69	0.03	0.13										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	90	OCS	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.102		59.0				2.0	kg	N	18	caffeine	18		4.80e+01	h					('african', 'caucasian')	(1, 8)	Y	9																																																																																																																																																																																			
4	plasma	caffeine	clearance	l/h/kg	208			90.0	0.063	0.006	0.28600000000000003										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	90	OCS	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.102		59.0				2.0	kg	N	18	caffeine	18		4.80e+01	h					('african', 'caucasian')	(1, 8)	Y	9																																																																																																																																																																																			
5	plasma	caffeine	cmax	µg/ml	208			91.0	4.09	0.24	0.17600000000000002										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	91	control	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.155		58.0				3.0	kg	N	18	caffeine	18		4.80e+01	h	N	9			('african', 'caucasian')	(1, 8)	N	9																																																																																																																																																																																			
6	plasma	caffeine	tmax	h	208			91.0	0.79	0.11	0.418										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	91	control	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.155		58.0				3.0	kg	N	18	caffeine	18		4.80e+01	h	N	9			('african', 'caucasian')	(1, 8)	N	9																																																																																																																																																																																			
7	plasma	caffeine	thalf	h	208			91.0	5.37	0.62	0.34600000000000003										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	91	control	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.155		58.0				3.0	kg	N	18	caffeine	18		4.80e+01	h	N	9			('african', 'caucasian')	(1, 8)	N	9																																																																																																																																																																																			
8	plasma	caffeine	vd	l/kg	208			91.0	0.75	0.07	0.28										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	91	control	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.155		58.0				3.0	kg	N	18	caffeine	18		4.80e+01	h	N	9			('african', 'caucasian')	(1, 8)	N	9																																																																																																																																																																																			
9	plasma	caffeine	clearance	l/h/kg	208			91.0	0.105	0.012	0.34299999999999997										dosing	oral	mg	caffeine	162.0	h	0.0							Abernethy1985	91	control	9	homo sapiens	18	Y	18.0	F	18	18.0	0.163	30.0	26.0		23.0		1.0	yr	9.0	0.155		58.0				3.0	kg	N	18	caffeine	18		4.80e+01	h	N	9			('african', 'caucasian')	(1, 8)	N	9																																																																																																																																																																																			
10	plasma	caffeine	clearance	l/h	234			112.0	9.07	0.782	0.273			2.47							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	112	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	10	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
11	plasma	caffeine	thalf	h	234			112.0	4.3	0.32299999999999995	0.237			1.02							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	112	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	10	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
12	plasma	caffeine	vd	l	234			112.0	52.5	2.11	0.127			6.66							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	112	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	10	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
13	plasma	caffeine	cmax	µg/ml	234			112.0	3.34	0.215	0.204			0.68							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	112	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	10	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
