category			species	species	age	age	age	age	age	age	age	age	age	age	healthy	healthy	sex	sex	smoking	smoking	weight	weight	weight	weight	weight	weight	weight	weight	weight	weight	abstinence	abstinence	abstinence	abstinence	abstinence	medication	medication	oral contraceptives	oral contraceptives	overnight fast	overnight fast	overnight fast	overnight fast	ethnicity	ethnicity	bmi	bmi	bmi	bmi	bmi	bmi	bmi	bmi	bmi	disease	disease	fasted	fasted	fasted	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	height	height	height	height	height	height	height	height	alcohol abstinence	alcohol abstinence	alcohol abstinence	alcohol abstinence	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	glucose	glucose	glucose	glucose	glucose	glucose	phenotype	phenotype	disease duration	disease duration	disease duration	disease duration	disease duration	disease duration	blood pressure	blood pressure	blood pressure	body surface area	body surface area	body surface area	body surface area	body surface area	body surface area	genetics	genetics	caffeine	caffeine	percent fat	percent fat	percent fat	percent fat	percent fat	percent fat	lean body mass	lean body mass	lean body mass	lean body mass	lean body mass	lean body mass	obesity index	obesity index	obesity index	obesity index	smoking duration (years)	smoking duration (years)	smoking duration (years)	insulin	insulin	insulin	insulin	alcohol	alcohol	metabolic ratio	metabolic ratio	metabolic ratio	metabolic ratio	metabolic ratio	medication type	medication type	smoking amount (packyears)	smoking amount (packyears)	smoking amount (packyears)	caffeine amount (beverages)	caffeine amount (beverages)	caffeine amount (beverages)
			choice	count	count	cv	max	mean	median	min	sd	se	unit	value	choice	count	choice	count	choice	count	count	cv	max	mean	median	min	sd	se	unit	value	choice	count	min	unit	value	choice	count	choice	count	choice	count	unit	value	choice	count	count	cv	max	mean	median	min	sd	se	unit	choice	count	count	unit	value	count	max	mean	min	sd	se	unit	value	count	cv	max	mean	min	sd	se	unit	choice	count	unit	value	count	cv	max	mean	min	sd	se	unit	count	max	mean	min	se	unit	value	count	max	mean	min	se	unit	choice	count	count	cv	mean	sd	se	unit	count	max	unit	count	max	mean	min	se	unit	choice	count	choice	count	count	cv	mean	sd	se	unit	count	cv	mean	sd	se	unit	count	mean	se	unit	count	min	unit	count	mean	se	unit	choice	count	count	max	mean	min	unit	choice	count	count	min	unit	count	max	unit
study	subject_pk	subject_name																																																																																																																																																													
Abernethy1985	158	all	homo sapiens	18	18		30.00	26.00		23.00		1.00	yr		Y	18	F	18	N	18																																																																																																																																											
Abernethy1985	159	OCS	homo sapiens	18	18		30.00	26.00		23.00		1.00	yr		Y	18	F	18	N	18	9			59.00				2.00	kg									Y	9					('african', 'caucasian')	(1, 8)																																																																																																																		
Abernethy1985	160	control	homo sapiens	18	18		30.00	26.00		23.00		1.00	yr		Y	18	F	18	N	18	9			58.00				3.00	kg															('african', 'caucasian')	(1, 8)																																																																																																																		
Akinyinka2000	161	all	homo sapiens	20														20	N	20																								african	20																																																																																																																		
Akinyinka2000	162	control	homo sapiens	20	10	0.24	40.00	32.10		18.00	7.60	2.40	yr		Y	10		20	N	20	10	0.21	82.00	59.80		38.00	12.30	3.89	kg															african	20																																																																																																																		
Akinyinka2000	163	healthy subjects	homo sapiens	20	10	0.24	40.00	32.10		18.00	7.60	2.40	yr		Y	10		20	N	20	10	0.21	82.00	59.80		38.00	12.30	3.89	kg															african	20																																																																																																																		
Akinyinka2000	164	malaria	homo sapiens	20	10	0.16	20.00	15.70		12.00	2.50	0.79	yr		N	10		20	N	20	10	0.33	58.00	45.30		25.00	14.90	4.71	kg															african	20										plasmodium falciparum	10																																																																																																							
Akinyinka2000	165	S3													Y	8																																																																																																																																															
Ammon2002	256	all	homo sapiens	12	12		42.00		31.00	26.00			yr		Y	12	M	12			12		95.00		77.00	63.00			kg							N	12									12		28.40		23.90	19.90			kg/m^2																																															EM	12																CYP2D6 wild type	12																																								
Backman2008	167	all	homo sapiens	71	71		31.00			19.00			yr		Y	71					71		100.00			52.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')		N	71																																																																								71	110.00	mmHg																																																
Backman2008	168	men	homo sapiens	71	71		31.00			19.00			yr		Y	71	M	53			71		100.00			52.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')		N	71																																																																								71	110.00	mmHg																																																
Backman2008	169	female nonsmokers	homo sapiens	71	11		26.00	22.00		19.00			yr		Y	71	F	11	N	11	11		85.00	61.00		52.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')		N	71	N	11							11		28.70	21.50		19.30			kg/m^2																																																							71	110.00	mmHg																																																
Backman2008	170	male nonsmokers	homo sapiens	71	38		31.00	23.00		19.00			yr		Y	71	M	53	N	38	38		96.00	78.00		64.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')		N	71									38		28.70	23.40		19.70			kg/m^2																																																							71	110.00	mmHg																																																
