study	pk	name	category	route	value	unit	substance_name	time_unit	time	form	application	choice	se	min	max
He2008	765	COD	dosing	oral	30.00	mg	codeine	h	0.0						
Balogh1992	601	caf	dosing	oral	225.00	mg	caffeine	h	0.0	solution	single dose				
Loetsch2006	771	COD	dosing	oral	30.00	mg	codeine	h	0.0	tablet					
Blanchard1983a	618	Dcaf_oral	dosing	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17
Loetsch2006	772	MOR	dosing	iv	30.00	mg	morphine	h	0.0						
Blanchard1983a	619	Dcaf_iv	dosing	iv	4.85	mg/kg	caffeine	h	0.0	solution	single dose		0.09	4.64	5.63
Calbet2002	777	Glucose	dosing	oral	15.00	g	glucose	h	0.0				0.00		
Cheng1990	630	Dcaf_70	dosing	oral	70.00	mg	caffeine	h	0.0						
Calbet2002	778	PPH	metabolic challenge	oral				h	0.0			protein solution			
Cheng1990	631	Dcaf_200	dosing	oral	200.00	mg	caffeine	h	0.0						
Calbet2002	779	WPH	metabolic challenge	oral				h	0.0			protein solution			
Cheng1990	632	Dcaf_300	dosing	oral	300.00	mg	caffeine	h	0.0						
Calbet2002	780	MS	metabolic challenge	oral				h	0.0			protein solution			
Granfors2005	646	Dcaf	dosing	oral	100.00	mg	caffeine	h	0.0	tablet	single dose				
Harder1989	685	D_CAF	dosing	oral	230.00	mg	caffeine	h	0.0						
Harder1989	686	D_OFL_A	dosing	oral	200.00	mg	ofloxacin	h	0.0						
Harder1989	687	D_OFL_B	dosing	oral	200.00	mg	ofloxacin	h	24.0						
Harder1989	688	D_OFL_C	dosing	oral	200.00	mg	ofloxacin	h	48.0						
Barnet1990	803	Dcaf	dosing	oral	350.00	mg	caffeine	h	0.0		single dose				
Harder1989	689	D_OFL_D	dosing	oral	200.00	mg	ofloxacin	h	72.0						
Harder1989	690	D_NOR_A	dosing	oral	400.00	mg	norfloxacin	h	0.0						
Harder1989	691	D_NOR_B	dosing	oral	400.00	mg	norfloxacin	h	24.0						
